"country","simulation","group","points","goals_scored","goals_taken","diff_goals","rank"
"Brazil",1,2,9,13,3,10,1
"Italy",1,2,4,5,7,-2,2
"England",1,6,7,6,2,4,1
"Denmark",1,6,6,6,5,1,2
"Spain",1,8,9,9,1,8,1
"Algeria",1,8,6,2,3,-1,2
"Brazil",2,2,7,3,1,2,1
"Morocco",2,2,4,4,4,0,2
"Senegal",2,3,9,9,3,6,1
"Uruguay",2,3,4,4,7,-3,2
"Portugal",2,4,7,6,1,5,1
"Japan",2,4,6,4,3,1,2
"Switzerland",2,6,6,6,1,5,1
"Argentina",2,6,5,2,1,1,2
"France",2,8,9,6,2,4,1
"Denmark",2,8,4,5,4,1,2
"Switzerland",3,5,9,6,0,6,1
"Italy",3,5,6,2,1,1,2
"Nigeria",3,6,7,4,0,4,1
"Spain",3,6,6,5,3,2,2
"Netherlands",3,7,9,5,1,4,1
"Portugal",3,7,6,6,4,2,2
"Belgium",3,8,9,6,1,5,1
"Mexico",3,8,6,6,3,3,2
"Germany",4,1,9,10,4,6,1
"Morocco",4,1,4,7,8,-1,2
"France",4,2,5,5,3,2,1
"Iran",4,2,4,2,2,0,2
"Italy",4,4,7,6,0,6,1
"United States",4,4,4,2,4,-2,2
"Poland",4,5,6,4,6,-2,1
"Spain",4,5,5,8,4,4,2
"Tunisia",4,8,6,6,2,4,1
"Portugal",4,8,5,4,3,1,2
"Algeria",5,1,7,7,4,3,1
"Netherlands",5,1,6,9,5,4,2
"France",5,3,7,6,1,5,1
"Korea Republic",5,3,4,3,4,-1,2
"Switzerland",5,4,7,7,4,3,1
"Brazil",5,4,4,2,2,0,2
"Belgium",6,2,9,8,0,8,1
"Chile",6,2,6,6,5,1,2
"Netherlands",6,3,9,8,2,6,1
"Argentina",6,3,6,5,4,1,2
"France",6,4,9,4,1,3,1
"Korea Republic",6,4,6,3,2,1,2
"Portugal",6,5,7,2,0,2,1
"Australia",6,5,5,4,1,3,2
"Mexico",6,6,9,7,3,4,1
"Brazil",6,6,4,6,3,3,2
"Spain",6,7,9,6,1,5,1
"Denmark",6,7,4,3,3,0,2
"Italy",7,1,6,6,3,3,1
"Senegal",7,1,5,6,4,2,2
"Belgium",7,3,9,7,1,6,1
"Uruguay",7,3,6,4,4,0,2
"Argentina",7,7,7,5,2,3,1
"Nigeria",7,7,6,6,3,3,2
"France",7,8,7,8,2,6,1
"Chile",7,8,5,4,3,1,2
"Brazil",8,2,7,7,1,6,1
"Poland",8,2,5,4,2,2,2
"France",8,4,9,13,1,12,1
"Croatia",8,4,6,3,4,-1,2
"Spain",8,8,9,7,0,7,1
"Morocco",8,8,4,3,5,-2,2
"Germany",9,3,9,6,0,6,1
"Brazil",9,3,4,2,4,-2,2
"Argentina",9,5,9,4,1,3,1
"Poland",9,5,6,5,3,2,2
"Senegal",10,1,7,3,1,2,1
"Denmark",10,1,6,3,2,1,2
"Croatia",10,3,9,6,2,4,1
"Nigeria",10,3,6,3,2,1,2
"Italy",10,5,9,6,1,5,1
"Brazil",10,5,6,5,2,3,2
"Portugal",10,6,7,5,2,3,1
"Germany",10,6,5,6,4,2,2
"Belgium",10,7,7,2,0,2,1
"Netherlands",10,7,6,4,1,3,2
"Wales",10,8,7,7,2,5,1
"Mexico",10,8,4,1,4,-3,2
"Qatar",11,1,9,4,1,3,1
"Mexico",11,1,6,5,1,4,2
"Denmark",11,2,7,3,0,3,1
"England",11,2,6,6,2,4,2
"Portugal",11,4,9,6,1,5,1
"Wales",11,4,4,3,2,1,2
"Italy",11,5,9,9,1,8,1
"Japan",11,5,6,5,5,0,2
"Brazil",11,7,7,8,3,5,1
"Netherlands",11,7,4,4,3,1,2
"Germany",11,8,9,7,3,4,1
"France",11,8,4,4,4,0,2
"Morocco",12,1,7,4,2,2,1
"Colombia",12,1,5,2,1,1,2
"United States",12,2,5,5,4,1,1
"Spain",12,2,4,3,2,1,2
"Mexico",12,3,7,4,2,2,1
"Brazil",12,3,6,2,1,1,2
"Uruguay",12,5,9,7,0,7,1
"England",12,5,6,4,1,3,2
"Colombia",13,1,9,6,3,3,1
"Switzerland",13,1,6,7,2,5,2
"Italy",13,3,7,4,2,2,1
"Belgium",13,3,5,2,1,1,2
"France",13,6,9,4,1,3,1
"Croatia",13,6,6,4,2,2,2
"Brazil",13,7,7,8,2,6,1
"Germany",13,7,5,5,2,3,2
"Spain",13,8,7,4,1,3,1
"Costa Rica",13,8,4,2,3,-1,2
"France",14,2,7,6,1,5,1
"Colombia",14,2,5,2,1,1,2
"Poland",14,4,9,8,2,6,1
"Croatia",14,4,6,3,2,1,2
"Spain",14,7,7,3,0,3,1
"Netherlands",14,7,4,4,4,0,2
"Argentina",14,8,9,8,2,6,1
"Japan",14,8,6,3,3,0,2
"Brazil",15,3,9,8,0,8,1
"Netherlands",15,3,6,5,3,2,2
"Argentina",15,5,9,11,2,9,1
"Nigeria",15,5,4,2,3,-1,2
"Denmark",15,8,6,4,3,1,1
"Portugal",15,8,5,6,5,1,2
"Chile",16,1,5,3,1,2,1
"Qatar",16,1,4,4,2,2,2
"Colombia",16,2,9,5,1,4,1
"Spain",16,2,6,7,2,5,2
"Belgium",16,4,9,5,2,3,1
"Australia",16,4,4,3,3,0,2
"England",16,5,7,6,1,5,1
"Netherlands",16,5,5,1,0,1,2
"Poland",16,6,7,4,2,2,1
"Argentina",16,6,5,4,2,2,2
"Brazil",17,3,9,9,2,7,1
"United States",17,3,6,3,5,-2,2
"Argentina",17,5,7,4,1,3,1
"Algeria",17,5,4,5,4,1,2
"Wales",17,7,7,4,1,3,1
"Mexico",17,7,4,4,2,2,2
"Denmark",18,1,7,5,3,2,1
"Tunisia",18,1,4,3,3,0,2
"Algeria",18,4,5,1,0,1,1
"Portugal",18,4,4,3,3,0,2
"Belgium",18,5,7,6,0,6,1
"Korea Republic",18,5,4,5,5,0,2
"Mexico",18,6,7,6,1,5,1
"Brazil",18,6,5,2,1,1,2
"France",18,7,9,6,0,6,1
"Iran",18,7,6,5,2,3,2
"Germany",18,8,9,6,0,6,1
"England",18,8,6,2,3,-1,2
"Netherlands",19,1,7,3,0,3,1
"Morocco",19,1,4,4,5,-1,2
"Brazil",19,3,7,5,1,4,1
"United States",19,3,5,3,2,1,2
"Iran",19,4,9,8,3,5,1
"Spain",19,4,6,9,8,1,2
"Belgium",19,5,9,10,2,8,1
"Germany",19,5,6,7,4,3,2
"France",19,6,9,5,0,5,1
"Italy",19,6,6,3,2,1,2
"Wales",19,8,7,2,0,2,1
"Argentina",19,8,6,3,1,2,2
"Italy",20,2,9,8,1,7,1
"Argentina",20,2,4,3,2,1,2
"Belgium",20,5,7,6,1,5,1
"Switzerland",20,5,4,2,2,0,2
"Portugal",20,6,7,10,3,7,1
"Colombia",20,6,5,3,2,1,2
"Spain",20,7,9,3,0,3,1
"Morocco",20,7,6,2,1,1,2
"Croatia",20,8,9,8,4,4,1
"Chile",20,8,6,6,6,0,2
"Qatar",21,1,7,3,1,2,1
"Croatia",21,1,4,2,2,0,2
"France",21,2,9,11,2,9,1
"Netherlands",21,2,4,5,4,1,2
"Portugal",21,6,5,3,1,2,1
"Switzerland",21,6,4,2,2,0,2
"Argentina",21,7,9,6,1,5,1
"Italy",21,7,6,4,2,2,2
"Germany",22,1,7,5,2,3,1
"Qatar",22,1,5,3,2,1,2
"Belgium",22,3,7,5,1,4,1
"Algeria",22,3,4,3,5,-2,2
"Brazil",22,4,7,7,2,5,1
"Italy",22,4,5,6,2,4,2
"Denmark",22,5,7,5,2,3,1
"Chile",22,5,4,6,3,3,2
"Croatia",22,6,9,6,3,3,1
"France",22,6,4,3,1,2,2
"England",22,7,7,6,1,5,1
"United States",22,7,4,4,7,-3,2
"Netherlands",22,8,7,4,2,2,1
"Argentina",22,8,5,6,2,4,2
"Italy",23,1,9,9,2,7,1
"Qatar",23,1,6,5,3,2,2
"Uruguay",23,4,7,4,0,4,1
"France",23,4,5,3,1,2,2
"Brazil",23,5,7,5,0,5,1
"Tunisia",23,5,6,5,5,0,2
"Poland",23,6,9,7,1,6,1
"Portugal",23,6,6,7,6,1,2
"Belgium",23,8,7,4,1,3,1
"Mexico",23,8,5,5,2,3,2
