"country","simulation","group","points","goals_scored","goals_taken","diff_goals","rank"
"Uruguay",1,1,7,5,2,3,1
"Saudi Arabia",1,1,4,5,5,0,2
"Denmark",1,3,9,4,1,3,1
"Peru",1,3,4,5,5,0,2
"Argentina",1,4,9,4,0,4,1
"Croatia",1,4,4,3,3,0,2
"Germany",1,6,7,6,1,5,1
"Mexico",1,6,5,8,3,5,2
"England",1,7,9,7,2,5,1
"Belgium",1,7,6,6,5,1,2
"Japan",1,8,7,8,0,8,1
"Poland",1,8,4,3,3,0,2
"Uruguay",2,1,9,6,1,5,1
"Russia",2,1,6,3,2,1,2
"Portugal",2,2,7,7,1,6,1
"Iran",2,2,6,4,5,-1,2
"Argentina",2,4,9,7,1,6,1
"Nigeria",2,4,4,1,2,-1,2
"Germany",2,6,9,5,1,4,1
"South Korea",2,6,6,5,3,2,2
"England",2,7,9,8,2,6,1
"Belgium",2,7,6,6,3,3,2
"Colombia",2,8,7,3,1,2,1
"Poland",2,8,4,3,3,0,2
"Portugal",3,2,7,7,1,6,1
"Spain",3,2,5,2,0,2,2
"France",3,3,9,7,2,5,1
"Denmark",3,3,4,5,4,1,2
"Argentina",3,4,9,9,1,8,1
"Iceland",3,4,6,3,1,2,2
"Brazil",3,5,9,6,2,4,1
"Costa Rica",3,5,4,1,1,0,2
"Colombia",3,8,7,5,1,4,1
"Poland",3,8,5,5,4,1,2
"Russia",4,1,7,5,1,4,1
"Uruguay",4,1,6,4,3,1,2
"Spain",4,2,9,9,1,8,1
"Iran",4,2,6,5,3,2,2
"France",4,3,9,7,0,7,1
"Peru",4,3,4,3,6,-3,2
"England",4,7,9,8,3,5,1
"Belgium",4,7,6,4,3,1,2
"Peru",5,3,5,2,1,1,1
"Australia",5,3,4,8,6,2,2
"Switzerland",5,5,7,2,0,2,1
"Brazil",5,5,5,1,0,1,2
"Colombia",5,8,7,4,0,4,1
"Poland",5,8,6,4,4,0,2
"Peru",6,3,9,6,1,5,1
"France",6,3,6,9,3,6,2
"Iceland",6,4,7,3,0,3,1
"Croatia",6,4,6,6,3,3,2
"England",6,7,9,9,0,9,1
"Belgium",6,7,6,2,2,0,2
"Poland",6,8,7,4,1,3,1
"Colombia",6,8,6,5,5,0,2
"Uruguay",7,1,7,5,1,4,1
"Russia",7,1,4,2,1,1,2
"France",7,3,9,9,2,7,1
"Peru",7,3,4,5,4,1,2
"Argentina",7,4,9,7,1,6,1
"Croatia",7,4,6,7,2,5,2
"Costa Rica",7,5,7,5,2,3,1
"Brazil",7,5,5,3,2,1,2
"Germany",7,6,9,6,0,6,1
"Mexico",7,6,6,5,4,1,2
"England",7,7,7,5,2,3,1
"Belgium",7,7,5,5,3,2,2
"Japan",7,8,7,5,3,2,1
"Colombia",7,8,6,4,3,1,2
"Russia",8,1,9,5,2,3,1
"Egypt",8,1,4,3,3,0,2
"France",8,3,9,6,1,5,1
"Australia",8,3,6,6,5,1,2
"Switzerland",8,5,7,8,2,6,1
"Brazil",8,5,5,4,1,3,2
"Germany",8,6,6,5,3,2,1
"South Korea",8,6,5,5,4,1,2
"Belgium",8,7,7,5,1,4,1
"England",8,7,6,8,2,6,2
"Poland",8,8,7,3,0,3,1
"Japan",8,8,4,3,2,1,2
"Russia",9,1,7,4,1,3,1
"Uruguay",9,1,5,5,2,3,2
"Portugal",9,2,9,5,0,5,1
"Spain",9,2,4,3,2,1,2
"France",9,3,9,4,0,4,1
"Peru",9,3,6,6,1,5,2
"Mexico",9,6,7,6,2,4,1
"Germany",9,6,6,4,4,0,2
"Uruguay",10,1,9,10,2,8,1
"Saudi Arabia",10,1,6,3,5,-2,2
"Portugal",10,2,9,7,0,7,1
"Iran",10,2,6,5,2,3,2
"Australia",10,3,7,3,0,3,1
"Denmark",10,3,6,3,3,0,2
"Croatia",10,4,7,7,2,5,1
"Iceland",10,4,6,3,2,1,2
"Brazil",10,5,7,6,1,5,1
"Costa Rica",10,5,6,4,3,1,2
"Germany",10,6,9,11,3,8,1
"Mexico",10,6,4,2,2,0,2
"Belgium",10,7,9,7,2,5,1
"Panama",10,7,6,6,4,2,2
"Colombia",10,8,5,4,1,3,1
"Senegal",10,8,4,2,4,-2,2
"Egypt",11,1,7,3,1,2,1
"Saudi Arabia",11,1,4,4,4,0,2
"Peru",11,3,9,5,2,3,1
"Australia",11,3,4,4,4,0,2
"Argentina",11,4,9,7,2,5,1
"Croatia",11,4,6,3,2,1,2
"Mexico",11,6,7,4,1,3,1
"Germany",11,6,5,5,1,4,2
"Poland",11,8,7,5,0,5,1
"Japan",11,8,6,3,2,1,2
"Uruguay",12,1,7,6,3,3,1
"Saudi Arabia",12,1,4,4,4,0,2
"Portugal",12,2,9,8,0,8,1
"Spain",12,2,6,2,1,1,2
"Brazil",12,5,7,3,0,3,1
"Switzerland",12,5,5,4,1,3,2
"Colombia",12,8,7,3,0,3,1
"Poland",12,8,4,1,1,0,2
"France",13,3,7,8,2,6,1
"Peru",13,3,5,2,1,1,2
"Argentina",13,4,9,6,1,5,1
"Iceland",13,4,4,2,2,0,2
"Brazil",13,5,7,6,3,3,1
"Switzerland",13,5,4,2,3,-1,2
"Uruguay",14,1,7,10,4,6,1
"Egypt",14,1,6,2,4,-2,2
"Brazil",14,5,9,7,3,4,1
"Costa Rica",14,5,6,5,2,3,2
"Germany",14,6,7,10,5,5,1
