"Year","country_name","elo_score","num_matches","goals_for","goals_against"
"2018","Brazil",2087,956,2081,886
"2018","Argentina",2045,990,1866,1049
"2018","Germany",2038,924,2071,1090
"2018","France",2009,816,1436,1174
"2018","Chile",1982,745,1075,1082
"2018","Spain",1979,668,1314,608
"2018","Italy",1943,791,1360,797
"2018","Portugal",1930,578,956,688
"2018","England",1929,1025,2411,1014
"2018","Colombia",1929,542,678,656
"2018","Uruguay",1915,905,1445,1137
"2018","Mexico",1911,863,1568,900
"2018","Belgium",1906,759,1315,1254
"2018","Netherlands",1889,791,1634,1033
"2018","Croatia",1886,284,506,273
"2018","Switzerland",1857,776,1122,1339
"2018","Costa Rica",1854,657,1200,751
"2018","Poland",1851,815,1387,1111
"2018","Ecuador",1850,498,598,805
"2018","Peru",1834,603,754,875
"2018","Ireland",1801,643,873,1053
"2018","Korea Republic",1788,924,1692,844
"2018","Turkey",1785,554,744,807
"2018","Iran",1774,571,1072,456
"2018","Ukraine",1769,237,328,231
"2018","Sweden",1768,1008,2047,1344
"2018","Iceland",1765,413,493,700
"2018","Wales",1760,636,798,1071
"2018","Bosnia and Herzegovina",1755,188,279,259
"2018","Slovakia",1753,269,382,347
"2018","Japan",1753,692,1205,832
"2018","United States",1735,676,971,934
"2018","Serbia",1725,757,1450,1056
"2018","Ivory Coast",1720,568,918,579
"2018","Denmark",1717,794,1454,1124
"2018","Australia",1709,528,1090,597
"2018","Paraguay",1702,700,921,1003
"2018","Czechia",1698,776,1443,964
"2018","Hungary",1691,936,1957,1402
"2018","Russia",1691,688,1209,667
"2018","Panama",1689,457,549,726
"2018","Austria",1685,761,1371,1216
"2018","Venezuela",1683,389,419,762
"2018","Romania",1682,699,1149,894
"2018","Senegal",1672,565,744,569
"2018","Scotland",1671,757,1320,929
"2018","Egypt",1669,739,1321,803
"2018","Nigeria",1669,598,893,614
"2018","Uzbekistan",1666,257,463,305
"2018","Greece",1653,555,694,794
"2018","Slovenia",1653,223,270,278
"2018","Northern Ireland",1647,523,544,817
"2018","Algeria",1633,558,794,587
"2018","Bolivia",1633,439,459,872
"2018","Israel",1627,439,675,619
"2018","Cameroon",1618,553,817,618
"2018","South Africa",1615,399,547,434
"2018","Morocco",1602,594,859,527
"2018","Montenegro",1597,77,96,96
"2018","Ghana",1593,664,1087,691
"2018","Tunisia",1590,631,896,713
"2018","Belarus",1588,207,247,287
"2018","Bulgaria",1586,679,973,1005
"2018","United Arab Emirates",1583,539,757,692
"2018","Albania",1581,312,278,491
"2018","Saudi Arabia",1578,671,1080,715
"2018","Democratic Republic of Congo",1577,446,711,551
"2018","Qatar",1577,540,755,626
"2018","Norway",1576,793,1181,1348
"2018","Honduras",1563,552,830,701
