"team","group_team","opp_team","group_opp_team","match_num_final","simulation"
"Algeria","2","France","3","1","1"
"Argentina","3","Germany","3","1","2"
"Germany","5","Brazil","6","1","3"
"Portugal","8","France","4","1","4"
"Mexico","7","Switzerland","4","1","5"
"Portugal","5","Mexico","6","1","6"
"Wales","4","Brazil","2","1","7"
"Portugal","6","Brazil","3","1","8"
"Argentina","3","Brazil","5","1","9"
"Algeria","5","Spain","4","1","10"
"Belgium","6","Germany","3","1","11"
"Uruguay","5","Belgium","8","1","12"
"Italy","4","Spain","1","1","13"
"Brazil","7","Netherlands","4","1","14"
"Portugal","7","Mexico","1","1","15"
"Spain","2","Brazil","1","1","16"
"Brazil","2","Chile","6","1","17"
"Spain","3","Mexico","6","1","18"
"Argentina","4","Mexico","8","1","19"
"Brazil","1","Portugal","5","1","20"
"Belgium","3","Mexico","6","1","21"
"England","4","Netherlands","7","1","22"
"Italy","1","Belgium","4","1","23"
"Brazil","5","Belgium","4","1","24"
"Portugal","7","Argentina","4","1","25"
"Denmark","6","Qatar","5","1","26"
"Spain","7","Belgium","7","1","27"
"Argentina","1","France","5","1","28"
"Netherlands","8","Denmark","5","1","29"
"France","1","Germany","2","1","30"
"Mexico","8","Brazil","3","1","31"
"Italy","6","France","1","1","32"
"Belgium","7","France","7","1","33"
"Portugal","8","Mexico","6","1","34"
"Portugal","8","Belgium","7","1","35"
"Brazil","1","Portugal","2","1","36"
"Spain","2","France","5","1","37"
"Brazil","4","Spain","1","1","38"
"Colombia","7","Mexico","7","1","39"
"England","4","Portugal","1","1","40"
"Brazil","4","Morocco","1","1","41"
"Brazil","6","Belgium","1","1","42"
"Italy","2","Portugal","6","1","43"
"Croatia","4","Argentina","1","1","44"
"Uruguay","6","England","3","1","45"
"Colombia","2","England","6","1","46"
"Italy","3","Brazil","8","1","47"
"Mexico","3","Italy","6","1","48"
"France","1","Germany","6","1","49"
"Portugal","8","Brazil","6","1","50"
"France","7","Croatia","7","1","51"
"Colombia","8","Brazil","1","1","52"
"Germany","6","Brazil","8","1","53"
"Germany","6","Netherlands","8","1","54"
"Germany","6","Brazil","7","1","55"
"Belgium","1","Colombia","7","1","56"
"Belgium","4","France","4","1","57"
"Belgium","4","France","1","1","58"
"Brazil","7","Portugal","3","1","59"
"Brazil","4","Spain","5","1","60"
"Portugal","6","Netherlands","8","1","61"
"Spain","7","England","7","1","62"
"Brazil","3","Japan","5","1","63"
"Spain","3","Belgium","4","1","64"
"Algeria","1","Brazil","5","1","65"
"Mexico","2","Colombia","1","1","66"
"Italy","5","Portugal","3","1","67"
"Mexico","6","Netherlands","5","1","68"
"Argentina","4","Qatar","2","1","69"
"Denmark","2","England","1","1","70"
"Denmark","3","Spain","6","1","71"
"Brazil","1","Spain","8","1","72"
"Spain","7","Argentina","1","1","73"
"Spain","8","Argentina","3","1","74"
"Germany","6","France","1","1","75"
"Tunisia","6","Argentina","4","1","76"
"Brazil","5","Portugal","4","1","77"
"Argentina","5","Spain","6","1","78"
"Brazil","6","Poland","4","1","79"
"Korea Republic","6","Mexico","6","1","80"
"Belgium","3","Brazil","5","1","81"
"Uruguay","3","Brazil","3","1","82"
"Croatia","8","Brazil","1","1","83"
"Denmark","3","France","8","1","84"
"Brazil","2","England","1","1","85"
"Switzerland","4","Brazil","2","1","86"
"Argentina","2","Netherlands","1","1","87"
"Netherlands","5","France","2","1","88"
"Spain","3","France","1","1","89"
"Spain","8","Netherlands","2","1","90"
"Portugal","4","Brazil","1","1","91"
"Belgium","6","Brazil","5","1","92"
"United States","3","Brazil","5","1","93"
"Croatia","5","France","5","1","94"
"Netherlands","3","France","7","1","95"
"Spain","2","Brazil","1","1","96"
