"team","group_team","opp_team","group_opp_team","match_num_final","simulation"
"Switzerland","5","Costa Rica","2","1","1"
"France","6","Portugal","5","1","2"
"Germany","2","Argentina","6","1","3"
"Mexico","6","Germany","1","1","4"
"Uruguay","1","England","1","1","5"
"England","1","Spain","2","1","6"
"Uruguay","1","Brazil","2","1","7"
"Iran","5","Argentina","8","1","8"
"Brazil","2","Japan","5","1","9"
"Uruguay","1","Portugal","1","1","10"
"Germany","3","Brazil","1","1","11"
"Croatia","1","England","5","1","12"
"Brazil","1","Spain","1","1","13"
"Uruguay","1","Germany","2","1","14"
"France","6","Germany","1","1","15"
"Argentina","8","Spain","5","1","16"
"Senegal","8","Poland","5","1","17"
"Brazil","1","South Korea","6","1","18"
"Argentina","5","Germany","3","1","19"
"Croatia","8","Belgium","2","1","20"
"Uruguay","1","Poland","5","1","21"
"France","1","Spain","2","1","22"
"Belgium","1","South Korea","5","1","23"
"Uruguay","1","Argentina","5","1","24"
"Brazil","1","Mexico","5","1","25"
"Uruguay","1","Spain","2","1","26"
"Portugal","1","Argentina","7","1","27"
"Mexico","6","Belgium","6","1","28"
"Poland","8","Argentina","7","1","29"
"France","1","Iran","5","1","30"
"Argentina","6","Portugal","1","1","31"
"Belgium","1","Argentina","5","1","32"
"Croatia","8","Argentina","5","1","33"
"Argentina","5","Belgium","1","1","34"
"Belgium","1","Argentina","6","1","35"
"France","1","Germany","1","1","36"
"Brazil","1","Belgium","2","1","37"
"Brazil","1","Spain","2","1","38"
"France","1","Belgium","1","1","39"
"Uruguay","1","Argentina","7","1","40"
"Argentina","8","Germany","2","1","41"
"England","7","Spain","2","1","42"
"Iran","1","Costa Rica","2","1","43"
"France","5","Uruguay","1","1","44"
"Argentina","6","France","5","1","45"
"France","1","Poland","8","1","46"
"Belgium","1","Costa Rica","2","1","47"
"Iran","1","Uruguay","1","1","48"
"France","6","Argentina","8","1","49"
"England","8","Iran","7","1","50"
"France","1","Germany","1","1","51"
"England","5","Brazil","1","1","52"
"Uruguay","1","Germany","8","1","53"
"Germany","1","Switzerland","5","1","54"
"Brazil","2","Argentina","8","1","55"
"Brazil","1","France","1","1","56"
"France","2","Costa Rica","1","1","57"
"Germany","1","Belgium","1","1","58"
"England","1","Mexico","1","1","59"
"Poland","2","Japan","6","1","60"
"Croatia","7","Germany","1","1","61"
"Brazil","1","Switzerland","5","1","62"
"Brazil","1","Russia","1","1","63"
"Brazil","7","Spain","1","1","64"
"Germany","1","Mexico","1","1","65"
"Argentina","6","Germany","1","1","66"
"Germany","8","Mexico","1","1","67"
"Brazil","1","Mexico","1","1","68"
"Brazil","8","Germany","1","1","69"
"Argentina","6","Belgium","2","1","70"
"Brazil","1","England","2","1","71"
"Spain","1","Germany","5","1","72"
"Argentina","6","Peru","1","1","73"
"Brazil","1","Argentina","6","1","74"
"Iceland","5","Germany","6","1","75"
"France","1","Switzerland","5","1","76"
"Spain","1","Germany","2","1","77"
"Mexico","5","Argentina","6","1","78"
"Mexico","2","England","8","1","79"
"Germany","8","Switzerland","5","1","80"
"Germany","2","Denmark","5","1","81"
"Brazil","1","Spain","2","1","82"
"South Korea","6","Mexico","1","1","83"
"Argentina","5","Costa Rica","3","1","84"
"Uruguay","1","Colombia","2","1","85"
"Croatia","8","Mexico","5","1","86"
"France","1","Argentina","7","1","87"
"Mexico","6","Costa Rica","1","1","88"
"Croatia","6","Mexico","6","1","89"
"Saudi Arabia","2","Portugal","5","1","90"
"Croatia","1","Senegal","8","1","91"
"France","6","Spain","2","1","92"
"France","1","Germany","1","1","93"
"Poland","1","Iran","5","1","94"
"Colombia","1","Uruguay","1","1","95"
"Brazil","1","Morocco","3","1","96"
"Switzerland","7","Brazil","4","1","97"
"Colombia","1","Belgium","6","1","98"
"Brazil","1","Argentina","5","1","99"
"Colombia","1","Uruguay","1","1","100"
"Brazil","2","Germany","8","1","101"
"Colombia","1","England","1","1","102"
"Iran","1","Spain","1","1","103"
"Brazil","1","Argentina","5","1","104"
"Poland","7","Colombia","2","1","105"
"Brazil","1","Germany","1","1","106"
"Brazil","2","Mexico","1","1","107"
"South Korea","6","England","1","1","108"
"Portugal","1","Spain","2","1","109"
"Germany","1","France","7","1","110"
"France","2","Argentina","6","1","111"
"France","5","Argentina","6","1","112"
"Japan","8","Colombia","1","1","113"
"Germany","1","Argentina","6","1","114"
"Portugal","1","Spain","1","1","115"
"Colombia","2","Germany","8","1","116"
"Belgium","1","Costa Rica","1","1","117"
"Uruguay","1","Argentina","5","1","118"
"Uruguay","1","Peru","2","1","119"
"England","1","Germany","6","1","120"
"Uruguay","1","Argentina","5","1","121"
"Argentina","8","Germany","6","1","122"
"France","2","England","1","1","123"
"Brazil","1","Argentina","7","1","124"
"England","6","Brazil","7","1","125"
"Iran","1","Croatia","6","1","126"
"Australia","6","Spain","2","1","127"
"Spain","1","Argentina","5","1","128"
"Uruguay","1","Germany","2","1","129"
"South Korea","6","Spain","2","1","130"
"Brazil","2","Germany","8","1","131"
"Argentina","8","Colombia","2","1","132"
"France","2","Argentina","7","1","133"
"Brazil","1","England","2","1","134"
"Colombia","2","Uruguay","1","1","135"
"Belgium","1","Germany","2","1","136"
"Croatia","6","Costa Rica","7","1","137"
"Colombia","1","Spain","2","1","138"
"France","8","Brazil","1","1","139"
"Belgium","1","Germany","1","1","140"
"Poland","5","Argentina","6","1","141"
"Belgium","1","Argentina","5","1","142"
"Colombia","1","Argentina","7","1","143"
"Brazil","1","Germany","1","1","144"
"Uruguay","1","Croatia","2","1","145"
"France","8","Spain","2","1","146"
"Mexico","6","Peru","5","1","147"
"Argentina","8","Senegal","8","1","148"
"Croatia","2","Brazil","8","1","149"
"Argentina","6","Croatia","5","1","150"
"Uruguay","1","Serbia","6","1","151"
"Brazil","6","Germany","1","1","152"
"England","7","France","6","1","153"
"Spain","2","Argentina","8","1","154"
"France","1","Germany","2","1","155"
"Brazil","1","Spain","2","1","156"
"Spain","2","Brazil","3","1","157"
"France","2","Belgium","6","1","158"
"England","6","Croatia","1","1","159"
"Argentina","6","Nigeria","8","1","160"
"Germany","5","Spain","1","1","161"
"Brazil","1","Colombia","5","1","162"
"Portugal","1","South Korea","6","1","163"
"Colombia","2","Portugal","1","1","164"
"France","1","Russia","5","1","165"
"Brazil","1","Germany","5","1","166"
"Brazil","1","Spain","2","1","167"
"Portugal","1","Brazil","7","1","168"
"Brazil","3","Germany","1","1","169"
"France","8","Argentina","6","1","170"
"Brazil","2","Poland","1","1","171"
"Spain","2","Argentina","6","1","172"
"Portugal","1","England","6","1","173"
"Mexico","5","Argentina","7","1","174"
"Argentina","7","Brazil","1","1","175"
"Russia","1","Argentina","5","1","176"
"Argentina","6","Portugal","1","1","177"
"France","6","Belgium","1","1","178"
"France","4","Mexico","1","1","179"
"Argentina","7","Colombia","2","1","180"
"Brazil","3","Germany","1","1","181"
"England","1","Argentina","6","1","182"
"Costa Rica","2","Spain","2","1","183"
"Poland","6","South Korea","5","1","184"
"Poland","8","Portugal","5","1","185"
"Japan","5","Germany","1","1","186"
"Uruguay","1","Germany","6","1","187"
"France","8","Argentina","6","1","188"
"England","2","Brazil","1","1","189"
"France","1","Croatia","6","1","190"
"England","1","Germany","6","1","191"
"Sweden","6","Brazil","2","1","192"
"Colombia","1","Argentina","8","1","193"
"Argentina","6","Japan","2","1","194"
"Brazil","1","Spain","2","1","195"
"Spain","1","Portugal","2","1","196"
"Argentina","8","Portugal","1","1","197"
"Iceland","1","South Korea","6","1","198"
"Switzerland","5","England","1","1","199"
"Brazil","1","Costa Rica","7","1","200"
"Poland","1","Colombia","2","1","201"
"Brazil","1","Argentina","8","1","202"
"England","6","Argentina","5","1","203"
"Uruguay","1","Argentina","5","1","204"
