"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Germany",1,1,"Italy",2,2,1,1
"Belgium",3,1,"Korea Republic",4,2,2,1
"Nigeria",5,1,"Denmark",6,2,3,1
"Portugal",7,1,"Algeria",8,2,4,1
"Chile",1,2,"Brazil",2,1,5,1
"Uruguay",3,2,"France",4,1,6,1
"Argentina",5,2,"England",6,1,7,1
"United States",7,2,"Spain",8,1,8,1
"Costa Rica",1,1,"Morocco",2,2,1,2
"Senegal",3,1,"Japan",4,2,2,2
"England",5,1,"Argentina",6,2,3,2
"Spain",7,1,"Denmark",8,2,4,2
"Italy",1,2,"Brazil",2,1,5,2
"Uruguay",3,2,"Portugal",4,1,6,2
"Germany",5,2,"Switzerland",6,1,7,2
"Croatia",7,2,"France",8,1,8,2
"Senegal",1,1,"Iran",2,2,1,3
"Chile",3,1,"Germany",4,2,2,3
"Switzerland",5,1,"Spain",6,2,3,3
"Netherlands",7,1,"Mexico",8,2,4,3
"Costa Rica",1,2,"Brazil",2,1,5,3
"France",3,2,"England",4,1,6,3
"Italy",5,2,"Nigeria",6,1,7,3
"Portugal",7,2,"Belgium",8,1,8,3
"Germany",1,1,"Iran",2,2,1,4
"Argentina",3,1,"United States",4,2,2,4
"Poland",5,1,"Mexico",6,2,3,4
"Japan",7,1,"Portugal",8,2,4,4
"Morocco",1,2,"France",2,1,5,4
"Denmark",3,2,"Italy",4,1,6,4
"Spain",5,2,"Brazil",6,1,7,4
"Colombia",7,2,"Tunisia",8,1,8,4
"Algeria",1,1,"Senegal",2,2,1,5
"France",3,1,"Brazil",4,2,2,5
"Germany",5,1,"Mexico",6,2,3,5
"Spain",7,1,"Colombia",8,2,4,5
"Netherlands",1,2,"Italy",2,1,5,5
"Korea Republic",3,2,"Switzerland",4,1,6,5
"Portugal",5,2,"Belgium",6,1,7,5
"Japan",7,2,"England",8,1,8,5
"Qatar",1,1,"Chile",2,2,1,6
"Netherlands",3,1,"Korea Republic",4,2,2,6
"Portugal",5,1,"Brazil",6,2,3,6
"Spain",7,1,"Costa Rica",8,2,4,6
"Senegal",1,2,"Belgium",2,1,5,6
"Argentina",3,2,"France",4,1,6,6
"Australia",5,2,"Mexico",6,1,7,6
"Denmark",7,2,"Colombia",8,1,8,6
"Italy",1,1,"Netherlands",2,2,1,7
"Belgium",3,1,"Wales",4,2,2,7
"Morocco",5,1,"Korea Republic",6,2,3,7
"Argentina",7,1,"Chile",8,2,4,7
"Senegal",1,2,"United States",2,1,5,7
"Uruguay",3,2,"Spain",4,1,6,7
"England",5,2,"Brazil",6,1,7,7
"Nigeria",7,2,"France",8,1,8,7
"Colombia",1,1,"Poland",2,2,1,8
"Belgium",3,1,"Croatia",4,2,2,8
"Portugal",5,1,"Switzerland",6,2,3,8
"Iran",7,1,"Morocco",8,2,4,8
"Qatar",1,2,"Brazil",2,1,5,8
"Jamaica",3,2,"France",4,1,6,8
"Algeria",5,2,"Argentina",6,1,7,8
"England",7,2,"Spain",8,1,8,8
"Croatia",1,1,"Mexico",2,2,1,9
"Germany",3,1,"England",4,2,2,9
