"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Uruguay",1,1,"Iran",2,2,1,1
"Denmark",3,1,"Croatia",4,2,2,1
"Switzerland",5,1,"Mexico",6,2,3,1
"England",7,1,"Poland",8,2,4,1
"Saudi Arabia",1,2,"Spain",2,1,5,1
"Peru",3,2,"Argentina",4,1,6,1
"Costa Rica",5,2,"Germany",6,1,7,1
"Belgium",7,2,"Japan",8,1,8,1
"Uruguay",1,1,"Iran",2,2,1,2
"France",3,1,"Nigeria",4,2,2,2
"Brazil",5,1,"South Korea",6,2,3,2
"England",7,1,"Poland",8,2,4,2
"Russia",1,2,"Portugal",2,1,5,2
"Denmark",3,2,"Argentina",4,1,6,2
"Switzerland",5,2,"Germany",6,1,7,2
"Belgium",7,2,"Colombia",8,1,8,2
"Russia",1,1,"Spain",2,2,1,3
"France",3,1,"Iceland",4,2,2,3
"Brazil",5,1,"Germany",6,2,3,3
"Tunisia",7,1,"Poland",8,2,4,3
"Uruguay",1,2,"Portugal",2,1,5,3
"Denmark",3,2,"Argentina",4,1,6,3
"Costa Rica",5,2,"Sweden",6,1,7,3
"Belgium",7,2,"Colombia",8,1,8,3
"Russia",1,1,"Iran",2,2,1,4
"France",3,1,"Croatia",4,2,2,4
"Brazil",5,1,"Mexico",6,2,3,4
"England",7,1,"Japan",8,2,4,4
"Uruguay",1,2,"Spain",2,1,5,4
"Peru",3,2,"Argentina",4,1,6,4
"Costa Rica",5,2,"Germany",6,1,7,4
"Belgium",7,2,"Colombia",8,1,8,4
"Uruguay",1,1,"Spain",2,2,1,5
"Peru",3,1,"Nigeria",4,2,2,5
"Switzerland",5,1,"Germany",6,2,3,5
"Belgium",7,1,"Poland",8,2,4,5
"Saudi Arabia",1,2,"Iran",2,1,5,5
"Australia",3,2,"Iceland",4,1,6,5
"Brazil",5,2,"Mexico",6,1,7,5
"England",7,2,"Colombia",8,1,8,5
"Uruguay",1,1,"Iran",2,2,1,6
"Peru",3,1,"Croatia",4,2,2,6
"Costa Rica",5,1,"South Korea",6,2,3,6
"England",7,1,"Colombia",8,2,4,6
"Russia",1,2,"Spain",2,1,5,6
"France",3,2,"Iceland",4,1,6,6
"Switzerland",5,2,"Germany",6,1,7,6
"Belgium",7,2,"Poland",8,1,8,6
"Uruguay",1,1,"Iran",2,2,1,7
"France",3,1,"Croatia",4,2,2,7
"Costa Rica",5,1,"Mexico",6,2,3,7
"England",7,1,"Colombia",8,2,4,7
"Russia",1,2,"Spain",2,1,5,7
"Peru",3,2,"Argentina",4,1,6,7
"Brazil",5,2,"Germany",6,1,7,7
"Belgium",7,2,"Japan",8,1,8,7
"Russia",1,1,"Iran",2,2,1,8
"France",3,1,"Croatia",4,2,2,8
"Switzerland",5,1,"South Korea",6,2,3,8
"Belgium",7,1,"Japan",8,2,4,8
"Egypt",1,2,"Spain",2,1,5,8
"Australia",3,2,"Argentina",4,1,6,8
"Brazil",5,2,"Germany",6,1,7,8
"England",7,2,"Poland",8,1,8,8
"Russia",1,1,"Spain",2,2,1,9
"France",3,1,"Iceland",4,2,2,9
"Brazil",5,1,"Germany",6,2,3,9
"England",7,1,"Colombia",8,2,4,9
"Uruguay",1,2,"Portugal",2,1,5,9
"Peru",3,2,"Croatia",4,1,6,9
"Switzerland",5,2,"Mexico",6,1,7,9
"Tunisia",7,2,"Japan",8,1,8,9
"Uruguay",1,1,"Iran",2,2,1,10
"Australia",3,1,"Iceland",4,2,2,10
"Brazil",5,1,"Mexico",6,2,3,10
"Belgium",7,1,"Senegal",8,2,4,10
"Saudi Arabia",1,2,"Portugal",2,1,5,10
"Denmark",3,2,"Croatia",4,1,6,10
"Costa Rica",5,2,"Germany",6,1,7,10
"Panama",7,2,"Colombia",8,1,8,10
"Egypt",1,1,"Morocco",2,2,1,11
"Peru",3,1,"Croatia",4,2,2,11
"Serbia",5,1,"Germany",6,2,3,11
"England",7,1,"Japan",8,2,4,11
"Saudi Arabia",1,2,"Iran",2,1,5,11
"Australia",3,2,"Argentina",4,1,6,11
"Brazil",5,2,"Mexico",6,1,7,11
"Tunisia",7,2,"Poland",8,1,8,11
"Uruguay",1,1,"Spain",2,2,1,12
"Australia",3,1,"Croatia",4,2,2,12
"Brazil",5,1,"South Korea",6,2,3,12
"Belgium",7,1,"Poland",8,2,4,12
"Saudi Arabia",1,2,"Portugal",2,1,5,12
"France",3,2,"Argentina",4,1,6,12
"Switzerland",5,2,"Mexico",6,1,7,12
"England",7,2,"Colombia",8,1,8,12
"Russia",1,1,"Portugal",2,2,1,13
"France",3,1,"Iceland",4,2,2,13
"Brazil",5,1,"Germany",6,2,3,13
"Belgium",7,1,"Poland",8,2,4,13
"Uruguay",1,2,"Spain",2,1,5,13
"Peru",3,2,"Argentina",4,1,6,13
"Switzerland",5,2,"Mexico",6,1,7,13
"England",7,2,"Colombia",8,1,8,13
"Uruguay",1,1,"Spain",2,2,1,14
"France",3,1,"Croatia",4,2,2,14
"Brazil",5,1,"Sweden",6,2,3,14
"England",7,1,"Japan",8,2,4,14
"Egypt",1,2,"Portugal",2,1,5,14
"Peru",3,2,"Argentina",4,1,6,14
"Costa Rica",5,2,"Germany",6,1,7,14
"Belgium",7,2,"Poland",8,1,8,14
"Uruguay",1,1,"Iran",2,2,1,15
"France",3,1,"Croatia",4,2,2,15
"Costa Rica",5,1,"Mexico",6,2,3,15
"Belgium",7,1,"Colombia",8,2,4,15
"Russia",1,2,"Portugal",2,1,5,15
"Peru",3,2,"Argentina",4,1,6,15
"Brazil",5,2,"Germany",6,1,7,15
"Tunisia",7,2,"Senegal",8,1,8,15
"Egypt",1,1,"Iran",2,2,1,16
"France",3,1,"Argentina",4,2,2,16
"Brazil",5,1,"South Korea",6,2,3,16
"England",7,1,"Poland",8,2,4,16
"Uruguay",1,2,"Spain",2,1,5,16
"Peru",3,2,"Iceland",4,1,6,16
"Switzerland",5,2,"Mexico",6,1,7,16
"Panama",7,2,"Japan",8,1,8,16
"Egypt",1,1,"Spain",2,2,1,17
"Denmark",3,1,"Argentina",4,2,2,17
"Brazil",5,1,"Mexico",6,2,3,17
"England",7,1,"Senegal",8,2,4,17
"Uruguay",1,2,"Portugal",2,1,5,17
"France",3,2,"Croatia",4,1,6,17
"Switzerland",5,2,"Sweden",6,1,7,17
"Tunisia",7,2,"Poland",8,1,8,17
"Uruguay",1,1,"Portugal",2,2,1,18
"France",3,1,"Croatia",4,2,2,18
"Brazil",5,1,"Germany",6,2,3,18
"Panama",7,1,"Colombia",8,2,4,18
"Russia",1,2,"Spain",2,1,5,18
"Denmark",3,2,"Argentina",4,1,6,18
"Costa Rica",5,2,"South Korea",6,1,7,18
"Belgium",7,2,"Poland",8,1,8,18
"Uruguay",1,1,"Portugal",2,2,1,19
"France",3,1,"Argentina",4,2,2,19
"Switzerland",5,1,"South Korea",6,2,3,19
"Panama",7,1,"Poland",8,2,4,19
"Egypt",1,2,"Iran",2,1,5,19
"Peru",3,2,"Croatia",4,1,6,19
"Brazil",5,2,"Germany",6,1,7,19
"Belgium",7,2,"Japan",8,1,8,19
"Uruguay",1,1,"Portugal",2,2,1,20
"France",3,1,"Croatia",4,2,2,20
"Costa Rica",5,1,"South Korea",6,2,3,20
"England",7,1,"Poland",8,2,4,20
"Egypt",1,2,"Spain",2,1,5,20
"Peru",3,2,"Argentina",4,1,6,20
"Switzerland",5,2,"Mexico",6,1,7,20
"Belgium",7,2,"Colombia",8,1,8,20
"Uruguay",1,1,"Spain",2,2,1,21
"France",3,1,"Argentina",4,2,2,21
"Brazil",5,1,"Sweden",6,2,3,21
"Belgium",7,1,"Japan",8,2,4,21
"Russia",1,2,"Portugal",2,1,5,21
"Denmark",3,2,"Croatia",4,1,6,21
