"team","group_team","opp_team","group_opp_team","match_num_semi","simulation"
"Belgium","2","Algeria","5","1","1"
"France","3","England","7","2","1"
"Senegal","3","Argentina","7","1","2"
"Portugal","3","Germany","6","2","2"
"Germany","1","Mexico","5","1","3"
"Brazil","3","Italy","6","2","3"
"Iran","2","Portugal","8","1","4"
"France","4","Colombia","5","2","4"
"Brazil","2","Mexico","7","1","5"
"Switzerland","4","Belgium","7","2","5"
"Netherlands","3","Portugal","5","1","6"
"France","4","Mexico","6","2","6"
"Wales","4","Argentina","5","1","7"
"Spain","2","Brazil","7","2","7"
"Poland","2","Portugal","6","1","8"
"Brazil","3","Argentina","8","2","8"
"Germany","3","Argentina","8","1","9"
"Brazil","1","Chile","5","2","9"
"Algeria","4","Belgium","5","1","10"
"Spain","4","Portugal","8","2","10"
"Belgium","1","Italy","6","1","11"
"Portugal","3","Germany","5","2","11"
"Spain","4","Uruguay","5","1","12"
"Belgium","2","Italy","8","2","12"
"Italy","4","Argentina","8","1","13"
"Switzerland","1","Spain","8","2","13"
"Belgium","4","Brazil","7","1","14"
"Poland","4","Netherlands","6","2","14"
"England","1","Portugal","7","1","15"
"Mexico","1","Denmark","6","2","15"
"Spain","2","Argentina","7","1","16"
"Colombia","1","Brazil","6","2","16"
"Brazil","2","Argentina","7","1","17"
"Chile","3","Mexico","6","2","17"
"Spain","3","Brazil","7","1","18"
"Colombia","2","Mexico","6","2","18"
"Netherlands","4","Argentina","6","1","19"
"England","3","Mexico","8","2","19"
"Brazil","1","Belgium","7","1","20"
"England","1","Portugal","5","2","20"
"Netherlands","3","Belgium","6","1","21"
"France","2","Mexico","6","2","21"
"Germany","4","England","7","1","22"
"Brazil","1","Netherlands","7","2","22"
"Italy","1","Brazil","6","1","23"
"Spain","4","Belgium","5","2","23"
"Brazil","1","Portugal","5","1","24"
"Denmark","4","Belgium","6","2","24"
"Mexico","1","Portugal","7","1","25"
"Uruguay","4","Argentina","7","2","25"
"Colombia","2","Denmark","6","1","26"
"Qatar","1","Switzerland","5","2","26"
"Germany","2","Spain","7","1","27"
"Belgium","3","Portugal","7","2","27"
"Japan","1","Argentina","7","1","28"
"Belgium","2","France","5","2","28"
"Belgium","1","Netherlands","8","1","29"
"Denmark","1","Germany","5","2","29"
"Qatar","1","France","7","1","30"
"Spain","2","Germany","5","2","30"
"Italy","1","Mexico","8","1","31"
"Uruguay","3","Brazil","6","2","31"
"Colombia","1","Italy","6","1","32"
"France","1","Argentina","7","2","32"
"Belgium","3","Portugal","7","1","33"
"France","3","Spain","7","2","33"
"Denmark","1","Portugal","8","1","34"
"Brazil","4","Mexico","6","2","34"
"Netherlands","2","Portugal","8","1","35"
"Belgium","3","France","7","2","35"
"Italy","1","Brazil","7","1","36"
"Portugal","2","France","7","2","36"
"Spain","2","England","7","1","37"
"Belgium","1","France","5","2","37"
"Chile","4","Brazil","8","1","38"
"Spain","1","Portugal","8","2","38"
"Colombia","1","Netherlands","7","1","39"
"Brazil","4","Mexico","7","2","39"
"Spain","4","England","8","1","40"
"Portugal","1","Belgium","6","2","40"
"Colombia","4","Brazil","5","1","41"
"Morocco","1","France","6","2","41"
"Brazil","3","France","6","1","42"
"Italy","1","Belgium","8","2","42"
"Italy","2","Brazil","5","1","43"
"England","2","Portugal","6","2","43"
"Netherlands","4","Croatia","8","1","44"
"Brazil","1","Argentina","7","2","44"
"Argentina","2","Uruguay","6","1","45"
"Korea Republic","3","England","7","2","45"
"France","2","Colombia","7","1","46"
"England","1","Portugal","6","2","46"
"Italy","3","Argentina","7","1","47"
"Brazil","4","Netherlands","8","2","47"
"Mexico","3","Japan","5","1","48"
"Croatia","1","Italy","6","2","48"
"Senegal","1","France","8","1","49"
"Colombia","4","Germany","6","2","49"
"Chile","3","Portugal","8","1","50"
"Brazil","3","Italy","6","2","50"
"Denmark","3","France","7","1","51"
"Croatia","1","Italy","7","2","51"
"Colombia","4","Spain","8","1","52"
"Brazil","1","Belgium","5","2","52"
"Belgium","2","Germany","6","1","53"
"Brazil","3","Portugal","8","2","53"
"Denmark","1","Germany","6","1","54"
"France","1","Netherlands","8","2","54"
"Belgium","2","Germany","6","1","55"
"Brazil","3","Colombia","7","2","55"
"Mexico","1","Belgium","8","1","56"
"Brazil","3","Colombia","7","2","56"
"Spain","4","Belgium","8","1","57"
