"team","group_team","opp_team","group_opp_team","match_num_semi","simulation"
"Iran","1","Switzerland","5","1","1"
"Spain","2","Costa Rica","8","2","1"
"France","1","Poland","6","1","2"
"Portugal","1","Switzerland","5","2","2"
"Russia","2","Germany","7","1","3"
"Argentina","1","Costa Rica","6","2","3"
"Iran","1","Mexico","6","1","4"
"Spain","1","Germany","6","2","4"
"Uruguay","1","Belgium","5","1","5"
"Iran","1","England","7","2","5"
"Iran","1","England","7","1","6"
"Spain","2","Belgium","5","2","6"
"Uruguay","1","England","7","1","7"
"Spain","2","Brazil","8","2","7"
"Iran","1","Switzerland","5","1","8"
"Argentina","2","Germany","8","2","8"
"Iceland","2","Brazil","7","1","9"
"Croatia","1","Japan","5","2","9"
"Uruguay","1","Brazil","6","1","10"
"Portugal","1","Germany","6","2","10"
"Peru","3","Germany","5","1","11"
"Saudi Arabia","1","Brazil","7","2","11"
"Croatia","1","Brazil","8","1","12"
"Argentina","1","England","5","2","12"
"Portugal","1","Brazil","6","1","13"
"Spain","1","Colombia","5","2","13"
"Uruguay","1","England","8","1","14"
"Peru","2","Germany","6","2","14"
"France","1","Mexico","6","1","15"
"Portugal","1","Germany","7","2","15"
"Argentina","2","Brazil","8","1","16"
"Spain","1","Switzerland","5","2","16"
"Argentina","2","Senegal","8","1","17"
"Croatia","1","Poland","5","2","17"
"France","1","Brazil","7","1","18"
"Russia","2","South Korea","6","2","18"
"Argentina","1","South Korea","5","1","19"
"Iran","3","Germany","8","2","19"
"Croatia","1","England","8","1","20"
"Spain","2","Belgium","5","2","20"
"Uruguay","1","Belgium","6","1","21"
"Denmark","1","Poland","5","2","21"
"France","1","England","6","1","22"
"Spain","2","Brazil","7","2","22"
"Croatia","1","Belgium","6","1","23"
"Iceland","2","South Korea","5","2","23"
"Uruguay","1","Panama","7","1","24"
"Argentina","2","Switzerland","5","2","24"
"Portugal","1","Brazil","7","1","25"
"Argentina","2","Mexico","5","2","25"
"Uruguay","1","Brazil","7","1","26"
"Spain","2","Poland","8","2","26"
"Portugal","1","Brazil","6","1","27"
"Argentina","1","Germany","7","2","27"
"France","3","Mexico","6","1","28"
"Australia","1","Belgium","6","2","28"
"France","1","Poland","8","1","29"
"Argentina","2","Brazil","7","2","29"
"France","1","Brazil","6","1","30"
"Iran","3","Switzerland","5","2","30"
"Argentina","2","England","6","1","31"
"Portugal","1","Germany","7","2","31"
"France","1","Belgium","6","1","32"
"Argentina","2","Germany","5","2","32"
"Croatia","1","Poland","8","1","33"
"Argentina","1","Switzerland","5","2","33"
"Argentina","2","South Korea","5","1","34"
"Croatia","1","Belgium","5","2","34"
"Croatia","1","Belgium","6","1","35"
