"df_teams_analytics$team","round_16","quarter","semi","final","champion"
"Brazil",0.882,0.603,0.433,0.285,0.187
"Belgium",0.874,0.577,0.35,0.218,0.121
"France",0.857,0.565,0.342,0.198,0.121
"Spain",0.827,0.506,0.29,0.155,0.073
"Portugal",0.792,0.503,0.292,0.165,0.082
"Netherlands",0.774,0.441,0.217,0.117,0.062
"Argentina",0.756,0.417,0.221,0.107,0.053
"England",0.748,0.405,0.196,0.094,0.047
"Italy",0.731,0.426,0.227,0.113,0.058
"Germany",0.702,0.391,0.187,0.082,0.033
"Uruguay",0.679,0.324,0.149,0.082,0.039
"Denmark",0.632,0.297,0.143,0.056,0.027
"Mexico",0.617,0.32,0.169,0.072,0.028
"Colombia",0.556,0.269,0.118,0.048,0.018
"Croatia",0.538,0.255,0.113,0.04,0.014
"Switzerland",0.474,0.194,0.067,0.02,0.003
"Chile",0.416,0.15,0.062,0.021,0.003
"Qatar",0.395,0.102,0.024,0.008,0.002
"Wales",0.392,0.135,0.044,0.011,0.003
"Iran",0.379,0.158,0.06,0.015,0.005
"Japan",0.365,0.141,0.055,0.02,0.008
"Poland",0.36,0.128,0.042,0.011,0.002
"Korea Republic",0.356,0.136,0.039,0.014,0.004
"Australia",0.344,0.109,0.031,0.006,0.001
"United States",0.276,0.079,0.023,0.009,0.001
"Senegal",0.257,0.093,0.03,0.009,0.002
"Algeria",0.248,0.091,0.03,0.013,0.002
"Morocco",0.189,0.048,0.015,0.002,0.001
"Nigeria",0.18,0.046,0.013,0.005,0
"Costa Rica",0.157,0.04,0.007,0.003,0
"Tunisia",0.148,0.03,0.007,0.001,0
"Jamaica",0.099,0.021,0.004,0,0
