"country","score","continent","confederation"
"Belgium",1780,"Europe","UEFA"
"France",1755,"Europe","UEFA"
"England",1670,"Europe","UEFA"
"Portugal",1662,"Europe","UEFA"
"Spain",1645,"Europe","UEFA"
"Italy",1625,"Europe","UEFA"
"Croatia",1617,"Europe","UEFA"
"Denmark",1614,"Europe","UEFA"
"Germany",1610,"Europe","UEFA"
"Netherlands",1609,"Europe","UEFA"
"Switzerland",1593,"Europe","UEFA"
"Wales",1562,"Europe","UEFA"
"Poland",1559,"Europe","UEFA"
"Brazil",1743,"South America","CONMEBOL"
"Argentina",1642,"South America","CONMEBOL"
"Uruguay",1639,"South America","CONMEBOL"
"Colombia",1601,"South America","CONMEBOL"
"Japan",1502,"Asia","AFC"
"Iran",1496,"Asia","AFC"
"Korea Republic",1465,"Asia","AFC"
"Australia",1457,"Asia","AFC"
"Qatar",1391,"Asia","AFC"
"Senegal",1558,"Africa","CAF"
"Tunisia",1503,"Africa","CAF"
"Algeria",1488,"Africa","CAF"
"Morocco",1481,"Africa","CAF"
"Nigeria",1474,"Africa","CAF"
"Mexico",1632,"North America","CONCACAF"
"United States",1548,"North America","CONCACAF"
"Jamaica",1437,"North America","CONCACAF"
"Chile",1567,"South America","CONMEBOL"
"Costa Rica",1427,"North America","CONCACAF"
