"team","group_team","opp_team","group_opp_team","match_num_quarter","simulation"
"Italy","2","Belgium","4","1","1"
"Nigeria","5","Algeria","7","2","1"
"Chile","1","France","3","3","1"
"England","6","Spain","7","4","1"
"Morocco","2","Senegal","3","1","2"
"Argentina","5","Spain","7","2","2"
"Brazil","1","Portugal","3","3","2"
"Germany","6","France","8","4","2"
"Senegal","1","Germany","4","1","3"
"Spain","5","Mexico","7","2","3"
"Brazil","1","France","3","3","3"
"Italy","6","Belgium","7","4","3"
"Iran","2","Argentina","4","1","4"
"Mexico","5","Portugal","8","2","4"
"France","1","Italy","4","3","4"
"Spain","5","Colombia","8","4","4"
"Senegal","2","Brazil","3","1","5"
"Mexico","6","Spain","7","2","5"
"Italy","1","Switzerland","4","3","5"
"Belgium","5","England","7","4","5"
"Chile","1","Netherlands","3","1","6"
"Portugal","5","Costa Rica","7","2","6"
"Belgium","1","France","4","3","6"
"Mexico","6","Denmark","7","4","6"
"Netherlands","2","Wales","4","1","7"
"Korea Republic","5","Argentina","8","2","7"
"United States","2","Spain","3","3","7"
"Brazil","5","France","7","4","7"
"Poland","2","Belgium","4","1","8"
"Portugal","6","Morocco","8","2","8"
"Brazil","1","France","3","3","8"
"Argentina","6","Spain","8","4","8"
"Croatia","2","Germany","3","1","9"
"Argentina","6","Portugal","8","2","9"
"Wales","1","Brazil","4","3","9"
"Poland","5","Chile","8","4","9"
"Algeria","1","Croatia","4","1","10"
"Italy","5","Belgium","8","2","10"
"France","2","Spain","4","3","10"
"Portugal","6","Wales","8","4","10"
"England","1","Belgium","4","1","11"
"Italy","6","Brazil","8","2","11"
"Denmark","1","Portugal","3","3","11"
"Japan","5","Germany","7","4","11"
"Spain","2","Switzerland","4","1","12"
"Uruguay","5","Chile","8","2","12"
"Colombia","2","Belgium","3","3","12"
"England","6","Italy","8","4","12"
"Colombia","2","Italy","4","1","13"
"Argentina","6","Costa Rica","8","2","13"
"Switzerland","1","Belgium","4","3","13"
"France","5","Spain","8","4","13"
"Algeria","2","Belgium","4","1","14"
"Brazil","5","Spain","7","2","14"
"France","1","Poland","4","3","14"
"Wales","6","Netherlands","7","4","14"
"France","1","England","4","1","15"
"Argentina","6","Portugal","7","2","15"
"Mexico","1","Germany","3","3","15"
"Spain","6","Denmark","8","4","15"
"Spain","2","Australia","3","1","16"
"Argentina","5","Portugal","7","2","16"
"Colombia","1","Belgium","3","3","16"
"Netherlands","6","Brazil","7","4","16"
"Italy","2","Brazil","4","1","17"
"Argentina","6","Wales","7","2","17"
"Chile","1","England","3","3","17"
"Portugal","6","Mexico","8","4","17"
"Italy","2","Spain","3","1","18"
"Brazil","6","France","7","2","18"
"United States","2","Colombia","3","3","18"
"Mexico","6","Iran","7","4","18"
"Netherlands","1","Spain","4","1","19"
"Belgium","6","Argentina","7","2","19"
"England","1","Iran","3","3","19"
"France","5","Mexico","8","4","19"
"Uruguay","1","Brazil","3","1","20"
"Belgium","6","Chile","7","2","20"
"Italy","1","England","4","3","20"
"Portugal","5","Croatia","7","4","20"
"Netherlands","1","Spain","3","1","21"
"England","6","Belgium","8","2","21"
"France","2","Colombia","4","3","21"
"Mexico","6","Italy","7","4","21"
"Germany","2","Italy","4","1","22"
"Denmark","6","England","7","2","22"
"Qatar","1","Brazil","4","3","22"
"Croatia","6","Netherlands","7","4","22"
"Italy","1","France","4","1","23"
"Brazil","6","Argentina","8","2","23"
"Spain","2","Switzerland","4","3","23"
"Tunisia","5","Belgium","7","4","23"
"Switzerland","1","Brazil","3","1","24"
"Portugal","5","Chile","8","2","24"
"Denmark","2","Germany","4","3","24"
"Spain","6","Belgium","7","4","24"
"Mexico","1","Denmark","4","1","25"
"Japan","6","Portugal","7","2","25"
"Germany","2","Uruguay","4","3","25"
"Argentina","6","Croatia","7","4","25"
"Italy","2","Colombia","3","1","26"
"Korea Republic","6","Denmark","7","2","26"
"Qatar","1","Netherlands","4","3","26"
"Switzerland","5","England","7","4","26"
"Germany","2","France","3","1","27"
"Korea Republic","5","Spain","7","2","27"
"Belgium","1","Japan","3","3","27"
"Brazil","6","Portugal","7","4","27"
"Korea Republic","1","Japan","3","1","28"
"Argentina","6","Italy","7","2","28"
"Spain","2","Belgium","3","3","28"
"France","5","Brazil","7","4","28"
"Italy","1","Belgium","4","1","29"
"Korea Republic","6","Netherlands","8","2","29"
"England","1","Denmark","4","3","29"
"Germany","5","France","8","4","29"
"Qatar","1","Argentina","4","1","30"
"France","6","Portugal","7","2","30"
"Spain","2","Denmark","3","3","30"
"Germany","5","Croatia","8","4","30"
"Italy","1","England","3","1","31"
"Mexico","6","Netherlands","8","2","31"
"Qatar","1","Uruguay","3","3","31"
"Germany","6","Brazil","8","4","31"
"Uruguay","1","Colombia","4","1","32"
"Italy","6","Croatia","7","2","32"
"Portugal","1","France","4","3","32"
"Argentina","5","England","7","4","32"
"Belgium","1","Italy","3","1","33"
"England","6","Portugal","7","2","33"
"Algeria","2","France","3","3","33"
"Brazil","5","Spain","7","4","33"
"United States","1","Denmark","3","1","34"
