"team","group_team","opp_team","group_opp_team","match_num_quarter","simulation"
"Iran","1","Croatia","3","1","1"
"Switzerland","5","England","8","2","1"
"Spain","2","Argentina","3","3","1"
"Costa Rica","6","Japan","8","4","1"
"Iran","1","France","4","1","2"
"South Korea","6","Poland","8","2","2"
"Portugal","1","Argentina","3","3","2"
"Switzerland","5","Colombia","8","4","2"
"Russia","2","France","4","1","3"
"Germany","6","Tunisia","7","2","3"
"Uruguay","1","Argentina","3","3","3"
"Costa Rica","6","Colombia","8","4","3"
"Iran","1","Croatia","3","1","4"
"Mexico","6","England","8","2","4"
"Spain","1","Peru","3","3","4"
"Germany","6","Belgium","8","4","4"
"Uruguay","1","Peru","3","1","5"
"Germany","5","Belgium","8","2","5"
"Iran","1","Iceland","4","3","5"
"Brazil","6","England","7","4","5"
"Iran","1","Croatia","3","1","6"
"Costa Rica","6","England","7","2","6"
"Spain","2","France","4","3","6"
"Switzerland","5","Belgium","8","4","6"
"Uruguay","1","France","3","1","7"
"Costa Rica","6","England","7","2","7"
"Spain","2","Argentina","3","3","7"
"Brazil","6","Japan","8","4","7"
"Iran","1","France","3","1","8"
"Switzerland","5","Belgium","8","2","8"
"Spain","2","Argentina","3","3","8"
"Germany","6","Poland","8","4","8"
"Russia","2","Iceland","4","1","9"
"Brazil","6","Colombia","7","2","9"
"Uruguay","1","Croatia","3","3","9"
"Mexico","5","Japan","7","4","9"
"Uruguay","1","Iceland","4","1","10"
"Brazil","6","Belgium","8","2","10"
"Portugal","1","Croatia","3","3","10"
"Germany","6","Colombia","7","4","10"
"Morocco","2","Peru","3","1","11"
"Germany","5","England","8","2","11"
"Saudi Arabia","1","Australia","3","3","11"
"Brazil","6","Poland","7","4","11"
"Uruguay","1","Croatia","4","1","12"
"Brazil","6","Poland","8","2","12"
"Portugal","1","Argentina","3","3","12"
"Mexico","5","England","7","4","12"
"Portugal","1","France","4","1","13"
"Brazil","6","Belgium","8","2","13"
"Spain","1","Argentina","3","3","13"
"Mexico","5","Colombia","7","4","13"
"Uruguay","1","France","3","1","14"
"Brazil","6","England","8","2","14"
"Portugal","2","Peru","3","3","14"
"Germany","6","Belgium","8","4","14"
"Iran","1","France","3","1","15"
"Mexico","6","Belgium","8","2","15"
"Portugal","1","Peru","3","3","15"
"Germany","6","Tunisia","7","4","15"
"Iran","2","Argentina","3","1","16"
"Brazil","6","England","8","2","16"
"Spain","1","Peru","3","3","16"
"Switzerland","5","Japan","7","4","16"
"Spain","2","Argentina","3","1","17"
"Mexico","6","Senegal","8","2","17"
"Portugal","1","Croatia","3","3","17"
"Switzerland","5","Poland","7","4","17"
"Portugal","1","France","3","1","18"
"Brazil","6","Colombia","7","2","18"
"Russia","2","Argentina","3","3","18"
"South Korea","6","Belgium","8","4","18"
"Portugal","1","Argentina","3","1","19"
"South Korea","5","Panama","8","2","19"
"Iran","2","Peru","3","3","19"
"Germany","6","Japan","8","4","19"
"Uruguay","1","Croatia","3","1","20"
"Costa Rica","6","England","8","2","20"
"Spain","2","Argentina","3","3","20"
"Mexico","5","Belgium","8","4","20"
"Uruguay","1","France","3","1","21"
"Brazil","6","Belgium","8","2","21"
"Portugal","1","Denmark","3","3","21"
"South Korea","5","Poland","8","4","21"
"Uruguay","1","France","3","1","22"
"Mexico","6","England","7","2","22"
"Spain","2","Croatia","3","3","22"
"Brazil","6","Japan","7","4","22"
"Russia","1","Croatia","3","1","23"
"Mexico","6","Belgium","8","2","23"
"Spain","2","Iceland","4","3","23"
"South Korea","5","England","8","4","23"
"Uruguay","1","Croatia","4","1","24"
"Brazil","6","Panama","7","2","24"
"Iran","2","Argentina","3","3","24"
"Switzerland","5","England","7","4","24"
"Portugal","1","France","4","1","25"
"Brazil","6","England","7","2","25"
"Iran","2","Argentina","3","3","25"
"Mexico","5","Japan","8","4","25"
"Uruguay","1","Croatia","3","1","26"
"Brazil","6","Colombia","7","2","26"
"Spain","2","Argentina","3","3","26"
"Germany","6","Poland","8","4","26"
"Portugal","1","Iceland","3","1","27"
"Brazil","6","Belgium","8","2","27"
"Iran","1","Argentina","3","3","27"
"Germany","5","Panama","7","4","27"
"Egypt","2","France","3","1","28"
"Mexico","6","England","7","2","28"
"Russia","1","Australia","3","3","28"
"Serbia","6","Belgium","8","4","28"
"Uruguay","1","France","4","1","29"
"Mexico","5","Poland","8","2","29"
"Russia","2","Argentina","3","3","29"
"Brazil","6","England","7","4","29"
"Uruguay","1","France","3","1","30"
"Brazil","6","Belgium","8","2","30"
"Iran","1","Peru","3","3","30"
"Switzerland","5","England","8","4","30"
"Spain","2","Argentina","3","1","31"
"South Korea","6","England","8","2","31"
"Portugal","1","Croatia","3","3","31"
"Germany","6","Panama","7","4","31"
"Portugal","1","France","3","1","32"
"Brazil","6","Belgium","8","2","32"
"Iran","2","Argentina","3","3","32"
"Germany","5","England","8","4","32"
"Uruguay","1","Croatia","3","1","33"
"Brazil","6","Poland","8","2","33"
"Portugal","1","Argentina","3","3","33"
"Switzerland","5","England","7","4","33"
"Spain","2","Argentina","3","1","34"
"South Korea","5","Japan","8","2","34"
"Iran","1","Croatia","3","3","34"
"Germany","5","Belgium","8","4","34"
"Russia","1","Croatia","3","1","35"
"Brazil","6","Belgium","8","2","35"
"Uruguay","1","Argentina","3","3","35"
"Germany","6","England","8","4","35"
"Russia","1","France","3","1","36"
"Brazil","6","Colombia","7","2","36"
"Uruguay","1","Iceland","4","3","36"
"Germany","6","England","8","4","36"
"Uruguay","1","Argentina","3","1","37"
"Brazil","6","Panama","7","2","37"
"Saudi Arabia","2","Peru","3","3","37"
"Mexico","6","Belgium","8","4","37"
"Portugal","1","Croatia","3","1","38"
"Brazil","6","Tunisia","7","2","38"
"Spain","2","Argentina","3","3","38"
"Mexico","6","Senegal","8","4","38"
"Russia","1","France","3","1","39"
"Costa Rica","6","England","8","2","39"
"Spain","1","Argentina","3","3","39"
"Serbia","5","Belgium","8","4","39"
"Uruguay","1","Denmark","4","1","40"
"South Korea","5","Belgium","8","2","40"
"Egypt","2","Argentina","3","3","40"
"Brazil","6","England","7","4","40"
"Uruguay","1","Argentina","3","1","41"
"Mexico","6","Poland","8","2","41"
"Spain","2","Croatia","3","3","41"
"Germany","5","Belgium","8","4","41"
"Iran","1","Argentina","3","1","42"
"Costa Rica","6","England","7","2","42"
"Spain","2","France","3","3","42"
"Brazil","6","Japan","8","4","42"
"Iran","1","Denmark","3","1","43"
"Germany","6","Senegal","7","2","43"
"Spain","2","France","3","3","43"
"Costa Rica","6","England","8","4","43"
"Spain","2","France","3","1","44"
"Serbia","5","Poland","8","2","44"
"Uruguay","1","Australia","3","3","44"
"South Korea","6","Colombia","7","4","44"
"Portugal","1","Argentina","3","1","45"
"Mexico","6","Japan","7","2","45"
"Spain","2","France","3","3","45"
"Germany","5","Belgium","8","4","45"
"Saudi Arabia","1","France","3","1","46"
"Brazil","6","Japan","7","2","46"
"Portugal","1","Croatia","3","3","46"
"Germany","6","Poland","8","4","46"
"Uruguay","1","Argentina","3","1","47"
"Serbia","5","Belgium","8","2","47"
"Russia","2","Nigeria","4","3","47"
"Costa Rica","6","Tunisia","7","4","47"
"Iran","1","France","4","1","48"
"Switzerland","5","England","8","2","48"
"Uruguay","1","Croatia","3","3","48"
"Brazil","6","Belgium","8","4","48"
"Iran","1","France","4","1","49"
"Sweden","6","Senegal","8","2","49"
"Uruguay","1","Argentina","3","3","49"
"Germany","5","Poland","8","4","49"
"Egypt","2","Croatia","3","1","50"
"Brazil","6","England","8","2","50"
"Iran","1","Argentina","3","3","50"
"Germany","6","Panama","7","4","50"
"Iran","1","France","4","1","51"
"Brazil","6","Belgium","8","2","51"
"Portugal","1","Peru","3","3","51"
"Germany","5","Colombia","7","4","51"
"Uruguay","1","Argentina","3","1","52"
"Switzerland","5","England","8","2","52"
"Iran","1","Croatia","3","3","52"
"Brazil","6","Belgium","8","4","52"
"Uruguay","1","Peru","3","1","53"
"Switzerland","5","England","7","2","53"
"Russia","1","Argentina","3","3","53"
"Germany","5","Poland","8","4","53"
"Russia","1","Argentina","3","1","54"
"Germany","6","England","7","2","54"
"Egypt","2","Australia","4","3","54"
"Switzerland","5","Japan","8","4","54"
"Spain","2","Nigeria","3","1","55"
"Brazil","6","Colombia","8","2","55"
"Iran","1","Argentina","3","3","55"
"Germany","6","Poland","8","4","55"
"Portugal","1","Denmark","4","1","56"
"Brazil","6","Senegal","8","2","56"
"Iran","1","France","3","3","56"
"Costa Rica","6","Colombia","7","4","56"
"Spain","2","France","4","1","57"
"Brazil","6","England","8","2","57"
"Uruguay","1","Denmark","3","3","57"
"Costa Rica","6","Belgium","8","4","57"
"Uruguay","1","Argentina","3","1","58"
"Germany","6","Colombia","7","2","58"
"Portugal","1","Nigeria","4","3","58"
"Mexico","5","Belgium","8","4","58"
"Uruguay","1","France","3","1","59"
"South Korea","6","England","8","2","59"
"Morocco","1","Iceland","4","3","59"
"Mexico","5","Japan","7","4","59"
"Spain","2","Argentina","3","1","60"
"Mexico","6","Poland","8","2","60"
"Iran","2","Iceland","4","3","60"
"Serbia","6","Japan","8","4","60"
"Russia","1","Croatia","3","1","61"
"Mexico","5","Tunisia","7","2","61"
"Uruguay","1","Argentina","3","3","61"
"Germany","6","Colombia","7","4","61"
"Uruguay","1","Croatia","4","1","62"
"Brazil","6","England","8","2","62"
"Russia","1","Argentina","3","3","62"
"Switzerland","5","Belgium","8","4","62"
"Uruguay","1","Denmark","4","1","63"
"Brazil","6","Belgium","8","2","63"
"Russia","1","Croatia","3","3","63"
"Germany","5","Poland","8","4","63"
"Iran","2","Argentina","3","1","64"
"Brazil","6","Colombia","7","2","64"
"Spain","1","France","3","3","64"
"Serbia","5","Japan","8","4","64"
"Uruguay","1","Peru","3","1","65"
"Germany","6","Colombia","7","2","65"
"Russia","1","Argentina","3","3","65"
"Mexico","5","Panama","8","4","65"
"Uruguay","1","Argentina","3","1","66"
"South Korea","6","Japan","8","2","66"
"Portugal","1","Australia","4","3","66"
"Germany","6","England","7","4","66"
"Iran","1","France","4","1","67"
"Germany","6","Japan","8","2","67"
"Uruguay","1","Argentina","3","3","67"
"Mexico","6","Poland","8","4","67"
"Portugal","1","Nigeria","4","1","68"
"Brazil","6","England","8","2","68"
"Spain","1","France","3","3","68"
"Mexico","5","Colombia","8","4","68"
"Egypt","2","Argentina","3","1","69"
"Brazil","6","England","8","2","69"
"Russia","1","Croatia","3","3","69"
"Germany","5","Colombia","8","4","69"
"Uruguay","1","Argentina","3","1","70"
"Germany","6","England","8","2","70"
"Egypt","2","Croatia","3","3","70"
"Brazil","6","Belgium","8","4","70"
"Iran","1","Croatia","3","1","71"
"Brazil","6","Belgium","8","2","71"
"Spain","2","Argentina","3","3","71"
"Mexico","6","England","7","4","71"
"Spain","1","Nigeria","4","1","72"
"Brazil","6","England","8","2","72"
"Portugal","2","Croatia","3","3","72"
"Germany","5","Belgium","8","4","72"
"Spain","1","Argentina","3","1","73"
"Brazil","6","Belgium","8","2","73"
"Russia","1","Peru","3","3","73"
"Costa Rica","6","Poland","8","4","73"
"Spain","1","Peru","3","1","74"
"Brazil","6","Colombia","7","2","74"
"Portugal","1","Argentina","3","3","74"
"Costa Rica","6","Belgium","8","4","74"
"Iran","1","Iceland","4","1","75"
"Serbia","5","Belgium","8","2","75"
"Spain","2","Australia","3","3","75"
"Germany","6","England","8","4","75"
"Iran","1","France","4","1","76"
"Mexico","6","England","8","2","76"
"Spain","2","Denmark","3","3","76"
"Switzerland","5","Poland","8","4","76"
"Spain","1","Croatia","3","1","77"
"Brazil","6","Belgium","8","2","77"
"Portugal","2","Argentina","3","3","77"
"Germany","5","England","7","4","77"
"Russia","2","France","4","1","78"
"Mexico","5","Belgium","8","2","78"
"Portugal","1","Argentina","3","3","78"
"Germany","6","England","8","4","78"
"Spain","2","Argentina","3","1","79"
