"simulation","winners","second_places","third_places","fourth_places"
1,"France","Algeria","Belgium","England"
2,"Argentina","Germany","Portugal","Senegal"
3,"Germany","Brazil","Italy","Mexico"
4,"Portugal","France","Colombia","Iran"
5,"Mexico","Switzerland","Brazil","Belgium"
6,"Mexico","Portugal","France","Netherlands"
7,"Brazil","Wales","Spain","Argentina"
8,"Brazil","Portugal","Poland","Argentina"
9,"Argentina","Brazil","Germany","Chile"
10,"Algeria","Spain","Portugal","Belgium"
11,"Belgium","Germany","Italy","Portugal"
12,"Belgium","Uruguay","Italy","Spain"
13,"Italy","Spain","Switzerland","Argentina"
14,"Netherlands","Brazil","Belgium","Poland"
15,"Mexico","Portugal","England","Denmark"
16,"Brazil","Spain","Colombia","Argentina"
17,"Brazil","Chile","Argentina","Mexico"
18,"Spain","Mexico","Brazil","Colombia"
19,"Mexico","Argentina","Netherlands","England"
20,"Portugal","Brazil","England","Belgium"
21,"Belgium","Mexico","France","Netherlands"
22,"England","Netherlands","Germany","Brazil"
23,"Belgium","Italy","Spain","Brazil"
24,"Belgium","Brazil","Portugal","Denmark"
25,"Argentina","Portugal","Mexico","Uruguay"
26,"Denmark","Qatar","Colombia","Switzerland"
27,"Belgium","Spain","Germany","Portugal"
28,"France","Argentina","Belgium","Japan"
29,"Netherlands","Denmark","Belgium","Germany"
30,"Germany","France","Spain","Qatar"
31,"Brazil","Mexico","Uruguay","Italy"
32,"Italy","France","Argentina","Colombia"
33,"France","Belgium","Spain","Portugal"
34,"Portugal","Mexico","Denmark","Brazil"
35,"Portugal","Belgium","France","Netherlands"
36,"Brazil","Portugal","France","Italy"
37,"Spain","France","Belgium","England"
38,"Brazil","Spain","Chile","Portugal"
39,"Colombia","Mexico","Brazil","Netherlands"
40,"Portugal","England","Belgium","Spain"
41,"Morocco","Brazil","Colombia","France"
42,"Brazil","Belgium","France","Italy"
43,"Portugal","Italy","Brazil","England"
44,"Argentina","Croatia","Brazil","Netherlands"
45,"England","Uruguay","Argentina","Korea Republic"
46,"England","Colombia","France","Portugal"
47,"Italy","Brazil","Netherlands","Argentina"
48,"Italy","Mexico","Japan","Croatia"
49,"Germany","France","Colombia","Senegal"
50,"Portugal","Brazil","Italy","Chile"
51,"France","Croatia","Italy","Denmark"
52,"Colombia","Brazil","Belgium","Spain"
53,"Brazil","Germany","Belgium","Portugal"
54,"Germany","Netherlands","France","Denmark"
55,"Brazil","Germany","Belgium","Colombia"
56,"Colombia","Belgium","Mexico","Brazil"
57,"Belgium","France","Spain","Mexico"
58,"France","Belgium","Brazil","Algeria"
59,"Portugal","Brazil","Spain","Denmark"
60,"Brazil","Spain","Colombia","Mexico"
61,"Portugal","Netherlands","Uruguay","Belgium"
62,"England","Spain","Brazil","Germany"
63,"Brazil","Japan","France","Chile"
64,"Belgium","Spain","Brazil","Uruguay"
65,"Brazil","Algeria","Denmark","Chile"
66,"Mexico","Colombia","Japan","Wales"
67,"Portugal","Italy","Belgium","Denmark"
68,"Netherlands","Mexico","Nigeria","Colombia"
69,"Qatar","Argentina","France","Colombia"
70,"Denmark","England","Colombia","Italy"
71,"Denmark","Spain","Brazil","Australia"
72,"Spain","Brazil","Argentina","France"
73,"Argentina","Spain","Belgium","Poland"
74,"Spain","Argentina","Mexico","Uruguay"
75,"France","Germany","England","Mexico"
76,"Argentina","Tunisia","Belgium","Denmark"
77,"Brazil","Portugal","Croatia","Morocco"
78,"Spain","Argentina","Portugal","Italy"
79,"Brazil","Poland","Germany","Denmark"
80,"Korea Republic","Mexico","France","Denmark"
81,"Brazil","Belgium","Switzerland","Germany"
82,"Uruguay","Brazil","Germany","Belgium"
83,"Croatia","Brazil","Chile","Japan"
84,"France","Denmark","Germany","Colombia"
85,"Brazil","England","Portugal","Germany"
86,"Brazil","Switzerland","Portugal","Uruguay"
87,"Argentina","Netherlands","Belgium","Tunisia"
88,"France","Netherlands","Mexico","Spain"
89,"France","Spain","Mexico","Uruguay"
90,"Netherlands","Spain","Italy","Poland"
91,"Portugal","Brazil","France","Qatar"
92,"Brazil","Belgium","Argentina","Portugal"
93,"Brazil","United States","Argentina","Netherlands"
94,"France","Croatia","Senegal","Italy"
95,"Netherlands","France","Colombia","Italy"
96,"Brazil","Spain","Argentina","Mexico"
97,"Portugal","Argentina","Iran","Belgium"
98,"Portugal","Brazil","Denmark","Italy"
99,"France","Croatia","Netherlands","Wales"
100,"Brazil","Poland","Netherlands","France"
101,"Brazil","Croatia","Uruguay","Netherlands"
102,"Brazil","Portugal","France","Argentina"
103,"Denmark","Portugal","Spain","Belgium"
104,"England","Switzerland","Denmark","Belgium"
105,"Spain","Croatia","Denmark","Netherlands"
106,"Netherlands","Portugal","Brazil","England"
107,"Denmark","Australia","Argentina","Qatar"
108,"Netherlands","Belgium","France","Croatia"
109,"Portugal","Belgium","England","France"
110,"France","Australia","Brazil","Switzerland"
111,"Argentina","Netherlands","Croatia","England"
112,"Uruguay","Poland","Portugal","Mexico"
113,"Netherlands","Qatar","Germany","Brazil"
114,"Uruguay","Spain","Portugal","France"
115,"Spain","Brazil","England","Croatia"
116,"Portugal","Denmark","Uruguay","Germany"
117,"Brazil","Denmark","Italy","England"
118,"Belgium","Brazil","Chile","Qatar"
119,"England","Argentina","Denmark","Italy"
120,"Brazil","Germany","France","Korea Republic"
121,"Spain","Belgium","Poland","Mexico"
122,"Germany","Brazil","Denmark","Mexico"
123,"Poland","Brazil","Croatia","Portugal"
124,"Colombia","Italy","England","Mexico"
125,"Brazil","France","Belgium","Mexico"
126,"France","Italy","Brazil","Spain"
127,"Brazil","Belgium","Italy","Argentina"
128,"Italy","Argentina","Denmark","Germany"
129,"Italy","Germany","Brazil","France"
130,"Spain","Belgium","Italy","Netherlands"
131,"Italy","Denmark","Spain","Switzerland"
132,"Colombia","Algeria","Croatia","Portugal"
133,"France","Belgium","Spain","Brazil"
134,"Brazil","France","Argentina","Croatia"
135,"Brazil","Belgium","Netherlands","Spain"
136,"Belgium","Brazil","Spain","Germany"
137,"Belgium","Poland","France","United States"
138,"Brazil","Chile","Japan","England"
139,"Belgium","England","Brazil","Mexico"
140,"Belgium","Spain","Denmark","Qatar"
141,"France","Brazil","Croatia","Colombia"
142,"Germany","France","Italy","Spain"
143,"Argentina","Belgium","Spain","Poland"
144,"France","Netherlands","Italy","Japan"
145,"Argentina","Netherlands","Spain","Mexico"
146,"France","Brazil","Iran","Denmark"
147,"Brazil","Algeria","Croatia","Italy"
148,"Germany","Brazil","Denmark","Italy"
149,"Iran","Belgium","Uruguay","Brazil"
150,"Colombia","Netherlands","Belgium","Portugal"
151,"Portugal","France","Mexico","Netherlands"
152,"Mexico","Netherlands","Portugal","Chile"
153,"Brazil","France","Uruguay","Portugal"
154,"Croatia","Belgium","Netherlands","Italy"
155,"Brazil","France","Switzerland","Germany"
156,"Algeria","Argentina","Belgium","Denmark"
157,"Spain","Denmark","Italy","Portugal"
158,"Belgium","Italy","France","Denmark"
159,"Netherlands","Portugal","France","Colombia"
160,"Brazil","Netherlands","Argentina","Portugal"
161,"France","Netherlands","Switzerland","Brazil"
162,"Belgium","Portugal","Iran","Korea Republic"
163,"Argentina","Spain","Belgium","Colombia"
164,"Portugal","France","Belgium","Uruguay"
165,"Portugal","Brazil","Germany","Korea Republic"
166,"France","Portugal","Brazil","Denmark"
167,"Belgium","Spain","Denmark","Uruguay"
168,"Portugal","Korea Republic","Brazil","Australia"
169,"Belgium","France","Denmark","Iran"
170,"Uruguay","Colombia","Spain","Germany"
171,"Portugal","Colombia","France","Argentina"
