"team","opp_team","stage_num","year","simulation","diff_elo","avg_goals_scored","avg_opp_goals_taken","team_has_home_advt","group_team","group_opp_team","match_num","predictions_sim","pred_for_opp_team"
"Croatia","Algeria",2,2021,3,109,1.74320241691843,1.04666666666667,0,2,1,5,1,2
"Brazil","Algeria",2,2021,10,385,2.17165668662675,1.04666666666667,0,2,1,1,4,2
"Tunisia","Algeria",2,2021,5,-133,1.41592920353982,1.04666666666667,0,6,5,7,1,2
"Poland","Algeria",2,2021,9,62,1.70023419203747,1.04666666666667,0,1,2,1,1,0
"Switzerland","Argentina",2,2021,6,-120,1.46446078431373,1.0562015503876,0,1,2,1,2,1
"Belgium","Argentina",2,2021,10,120,1.79850746268657,1.0562015503876,0,7,8,4,3,0
"Denmark","Argentina",2,2021,8,-64,1.82994011976048,1.0562015503876,0,3,4,6,1,1
"Uruguay","Argentina",2,2021,1,-37,1.5968253968254,1.0562015503876,0,7,8,8,0,1
"Wales","Argentina",2,2021,3,-162,1.24590163934426,1.0562015503876,0,1,2,1,0,0
"Belgium","Argentina",2,2021,2,120,1.79850746268657,1.0562015503876,0,3,4,6,1,0
"Spain","Australia",2,2021,7,338,2.00704225352113,1.12455516014235,0,7,8,4,1,0
"Uruguay","Belgium",2,2021,6,-157,1.5968253968254,1.60572139303483,0,8,7,4,2,0
"Senegal","Belgium",2,2021,7,-353,1.32565789473684,1.60572139303483,0,4,3,2,0,4
"Tunisia","Belgium",2,2021,8,-493,1.41592920353982,1.60572139303483,0,6,5,3,0,2
"Iran","Belgium",2,2021,3,-348,1.87234042553191,1.60572139303483,1,8,7,4,2,0
"Korea Republic","Belgium",2,2021,5,-339,1.80635245901639,1.60572139303483,0,3,4,6,1,1
"France","Belgium",2,2021,4,-19,1.77893518518519,1.60572139303483,0,3,4,2,2,0
"Spain","Belgium",2,2021,1,-61,2.00704225352113,1.60572139303483,0,3,4,2,1,3
"Qatar","Brazil",2,2021,7,-497,1.43193277310924,0.902195608782435,1,1,2,1,1,4
"Germany","Brazil",2,2021,8,-180,2.24226804123711,0.902195608782435,0,7,8,8,2,1
"Qatar","Brazil",2,2021,4,-497,1.43193277310924,0.902195608782435,1,1,2,5,0,3
"France","Brazil",2,2021,5,-44,1.77893518518519,0.902195608782435,0,8,7,8,1,0
"Japan","Brazil",2,2021,1,-392,1.73592493297587,0.902195608782435,1,6,5,3,0,3
"Spain","Brazil",2,2021,6,-86,2.00704225352113,0.902195608782435,0,5,6,7,2,1
"Poland","Brazil",2,2021,3,-323,1.70023419203747,0.902195608782435,0,3,4,6,0,1
"Qatar","Brazil",2,2021,9,-497,1.43193277310924,0.902195608782435,1,1,2,5,1,1
"Spain","Chile",2,2021,3,237,2.00704225352113,1.44035532994924,0,8,7,8,2,0
"England","Chile",2,2021,2,149,2.34018691588785,1.44035532994924,0,7,8,4,3,0
"Iran","Chile",2,2021,10,-50,1.87234042553191,1.44035532994924,1,4,3,6,1,2
"Uruguay","Chile",2,2021,8,141,1.5968253968254,1.44035532994924,0,1,2,1,2,5
"Uruguay","Colombia",2,2021,4,58,1.5968253968254,1.18900343642612,0,6,5,7,0,2
"Mexico","Colombia",2,2021,2,35,1.81209503239741,1.18900343642612,0,5,6,7,0,2
"Wales","Colombia",2,2021,6,-67,1.24590163934426,1.18900343642612,0,8,7,8,0,1
"Japan","Colombia",2,2021,7,-152,1.73592493297587,1.18900343642612,1,5,6,3,0,0
"Portugal","Colombia",2,2021,9,143,1.69009584664537,1.18900343642612,0,7,8,4,0,1
"Spain","Colombia",2,2021,5,154,2.00704225352113,1.18900343642612,0,3,4,2,1,2
"France","Costa Rica",2,2021,2,469,1.77893518518519,1.14971751412429,0,2,1,5,3,0
"Mexico","Croatia",2,2021,7,71,1.81209503239741,1.02416918429003,0,7,8,8,0,2
"Italy","Croatia",2,2021,5,138,1.74007220216607,1.02416918429003,0,2,1,5,0,1
"Nigeria","Croatia",2,2021,1,-190,1.49295774647887,1.02416918429003,0,4,3,6,2,0
"Mexico","Croatia",2,2021,6,71,1.81209503239741,1.02416918429003,0,1,2,5,0,1
"Italy","Croatia",2,2021,10,138,1.74007220216607,1.02416918429003,0,8,7,8,3,0
"France","Croatia",2,2021,9,232,1.77893518518519,1.02416918429003,0,8,7,8,0,2
"Italy","Denmark",2,2021,9,71,1.74007220216607,1.37724550898204,0,5,6,7,3,0
"Jamaica","Denmark",2,2021,1,-343,1.33805031446541,1.37724550898204,0,1,2,5,1,4
"Wales","Denmark",2,2021,4,-98,1.24590163934426,1.37724550898204,0,2,1,1,0,4
"Netherlands","Denmark",2,2021,6,68,2.06024096385542,1.37724550898204,0,6,5,3,0,1
"Poland","Denmark",2,2021,10,-114,1.70023419203747,1.37724550898204,0,5,6,3,0,4
"Uruguay","Denmark",2,2021,5,27,1.5968253968254,1.37724550898204,0,5,6,3,1,0
"Mexico","England",2,2021,9,-31,1.81209503239741,0.980373831775701,0,4,3,2,0,3
"Qatar","England",2,2021,5,-323,1.43193277310924,0.980373831775701,1,1,2,1,2,0
"Korea Republic","England",2,2021,1,-190,1.80635245901639,0.980373831775701,0,8,7,4,0,0
"Qatar","England",2,2021,8,-323,1.43193277310924,0.980373831775701,1,1,2,5,0,1
"Senegal","England",2,2021,6,-204,1.32565789473684,0.980373831775701,0,4,3,6,2,2
"Germany","England",2,2021,3,-6,2.24226804123711,0.980373831775701,0,5,6,7,1,1
"France","England",2,2021,10,130,1.77893518518519,0.980373831775701,0,5,6,7,0,1
"Spain","England",2,2021,4,88,2.00704225352113,0.980373831775701,0,6,5,3,1,0
"Italy","France",2,2021,7,-94,1.74007220216607,1.40740740740741,0,5,6,7,0,0
"Wales","France",2,2021,1,-263,1.24590163934426,1.40740740740741,0,5,6,7,1,1
