"team","group_team","opp_team","group_opp_team","match_num_third_place","simulation"
"Belgium","2","England","3","1","1"
"Senegal","3","Portugal","3","1","2"
"Mexico","5","Italy","6","1","3"
"Iran","8","Colombia","4","1","4"
"Brazil","7","Belgium","4","1","5"
"Netherlands","5","France","6","1","6"
"Argentina","4","Spain","2","1","7"
"Poland","6","Argentina","3","1","8"
"Germany","3","Chile","5","1","9"
"Belgium","5","Portugal","4","1","10"
"Italy","6","Portugal","3","1","11"
"Spain","5","Italy","8","1","12"
"Argentina","4","Switzerland","1","1","13"
"Belgium","7","Poland","4","1","14"
"England","7","Denmark","1","1","15"
"Argentina","2","Colombia","1","1","16"
"Argentina","2","Mexico","6","1","17"
"Brazil","3","Colombia","6","1","18"
"Netherlands","4","England","8","1","19"
"Belgium","1","England","5","1","20"
"Netherlands","3","France","6","1","21"
"Germany","4","Brazil","7","1","22"
"Brazil","1","Spain","4","1","23"
"Portugal","5","Denmark","4","1","24"
"Mexico","7","Uruguay","4","1","25"
"Colombia","6","Switzerland","5","1","26"
"Germany","7","Portugal","7","1","27"
"Japan","1","Belgium","5","1","28"
"Belgium","8","Germany","5","1","29"
"Qatar","1","Spain","2","1","30"
"Italy","8","Uruguay","3","1","31"
"Colombia","6","Argentina","1","1","32"
"Portugal","7","Spain","7","1","33"
"Denmark","8","Brazil","6","1","34"
"Netherlands","8","France","7","1","35"
"Italy","1","France","2","1","36"
"England","2","Belgium","5","1","37"
"Chile","4","Portugal","1","1","38"
"Netherlands","7","Brazil","7","1","39"
"Spain","4","Belgium","1","1","40"
"Colombia","4","France","1","1","41"
"France","6","Italy","1","1","42"
"Brazil","2","England","6","1","43"
"Netherlands","4","Brazil","1","1","44"
"Argentina","6","Korea Republic","3","1","45"
"France","2","Portugal","6","1","46"
"Argentina","3","Netherlands","8","1","47"
"Japan","3","Croatia","6","1","48"
"Senegal","1","Colombia","6","1","49"
"Chile","8","Italy","6","1","50"
"Denmark","7","Italy","7","1","51"
"Spain","8","Belgium","1","1","52"
"Belgium","6","Portugal","8","1","53"
"Denmark","6","France","8","1","54"
"Belgium","6","Colombia","7","1","55"
"Mexico","1","Brazil","7","1","56"
"Spain","4","Mexico","4","1","57"
"Brazil","4","Algeria","1","1","58"
"Denmark","7","Spain","3","1","59"
"Colombia","4","Mexico","5","1","60"
"Belgium","6","Uruguay","8","1","61"
"Germany","7","Brazil","7","1","62"
"Chile","3","France","5","1","63"
"Uruguay","3","Brazil","4","1","64"
"Chile","1","Denmark","5","1","65"
"Japan","2","Wales","1","1","66"
"Belgium","5","Denmark","3","1","67"
"Nigeria","6","Colombia","5","1","68"
"Colombia","4","France","2","1","69"
"Colombia","2","Italy","1","1","70"
"Australia","3","Brazil","6","1","71"
"France","1","Argentina","8","1","72"
