"team","group_team","opp_team","group_opp_team","match_num_third_place","simulation"
"Iran","5","Spain","2","1","1"
"Poland","6","Switzerland","5","1","2"
"Russia","2","Costa Rica","6","1","3"
"Iran","6","Spain","1","1","4"
"Belgium","1","Iran","1","1","5"
"Iran","1","Belgium","2","1","6"
"England","1","Spain","2","1","7"
"Switzerland","5","Germany","8","1","8"
"Iceland","2","Croatia","5","1","9"
"Brazil","1","Germany","1","1","10"
"Peru","3","Saudi Arabia","1","1","11"
"Brazil","1","Argentina","5","1","12"
"Portugal","1","Colombia","1","1","13"
"England","1","Peru","2","1","14"
"Mexico","6","Portugal","1","1","15"
"Brazil","8","Switzerland","5","1","16"
"Argentina","8","Croatia","5","1","17"
"France","1","Russia","6","1","18"
"South Korea","5","Iran","3","1","19"
"England","8","Spain","2","1","20"
"Belgium","1","Denmark","5","1","21"
"England","1","Brazil","2","1","22"
"Croatia","1","Iceland","5","1","23"
"Panama","1","Switzerland","5","1","24"
"Portugal","1","Argentina","5","1","25"
"Brazil","1","Poland","2","1","26"
"Brazil","1","Germany","7","1","27"
"France","6","Australia","6","1","28"
"France","8","Brazil","7","1","29"
"Brazil","1","Switzerland","5","1","30"
"England","6","Germany","1","1","31"
"France","1","Germany","5","1","32"
"Poland","8","Switzerland","5","1","33"
"South Korea","5","Croatia","1","1","34"
"Croatia","1","England","6","1","35"
"Colombia","1","Iceland","1","1","36"
"Uruguay","1","Saudi Arabia","2","1","37"
"Croatia","1","Senegal","2","1","38"
"Costa Rica","1","Spain","1","1","39"
"South Korea","1","Brazil","7","1","40"
"Mexico","8","Spain","2","1","41"
"Argentina","7","Japan","2","1","42"
"Germany","1","Spain","2","1","43"
"Serbia","5","Colombia","1","1","44"
"Japan","6","Germany","5","1","45"
"Brazil","1","Croatia","8","1","46"
"Uruguay","1","Russia","2","1","47"
"England","1","Brazil","1","1","48"
"Senegal","6","Germany","8","1","49"
"Egypt","8","Panama","7","1","50"
"Brazil","1","Portugal","1","1","51"
"Argentina","5","Croatia","1","1","52"
"England","1","Argentina","8","1","53"
"Russia","1","Egypt","5","1","54"
"Spain","2","Poland","8","1","55"
"Denmark","1","Colombia","1","1","56"
"England","2","Uruguay","1","1","57"
"Uruguay","1","Portugal","1","1","58"
"Uruguay","1","Morocco","1","1","59"
"Spain","2","Iran","6","1","60"
"Mexico","7","Uruguay","1","1","61"
"Uruguay","1","Argentina","5","1","62"
"Denmark","1","Poland","1","1","63"
"Argentina","7","Serbia","1","1","64"
"Uruguay","1","Russia","1","1","65"
"Japan","6","Portugal","1","1","66"
"France","8","Uruguay","1","1","67"
"Portugal","1","Spain","1","1","68"
"Argentina","8","Russia","1","1","69"
"England","6","Croatia","2","1","70"
"Croatia","1","Spain","2","1","71"
"England","1","Croatia","5","1","72"
"Belgium","6","Costa Rica","1","1","73"
"Spain","1","Costa Rica","6","1","74"
"Serbia","5","Australia","6","1","75"
"England","1","Spain","5","1","76"
"Brazil","1","Portugal","2","1","77"
"France","5","England","6","1","78"
"Spain","2","Croatia","8","1","79"
"France","8","Australia","5","1","80"
"Spain","2","Serbia","5","1","81"
"Uruguay","1","England","2","1","82"
"France","6","Uruguay","1","1","83"
"Colombia","5","Peru","3","1","84"
"Brazil","1","Iceland","2","1","85"
"Poland","8","Argentina","5","1","86"
"Brazil","1","Costa Rica","7","1","87"
"Argentina","6","Iran","1","1","88"
"England","6","Argentina","6","1","89"
"Germany","2","Switzerland","5","1","90"
"Brazil","1","Portugal","8","1","91"
"South Korea","6","Japan","2","1","92"
"Belgium","1","Peru","1","1","93"
"Uruguay","1","Switzerland","5","1","94"
"Croatia","1","England","1","1","95"
"Uruguay","1","Japan","3","1","96"
"Portugal","7","Nigeria","4","1","97"
"Uruguay","1","Argentina","6","1","98"
"Peru","1","Poland","5","1","99"
"Croatia","1","England","1","1","100"
"Spain","2","Argentina","8","1","101"
"Croatia","1","Uruguay","1","1","102"
"Belgium","1","Germany","1","1","103"
"Portugal","1","Colombia","5","1","104"
"Egypt","7","Croatia","2","1","105"
"Iran","1","Portugal","1","1","106"
"Croatia","2","Uruguay","1","1","107"
"France","6","Uruguay","1","1","108"
"England","1","Japan","2","1","109"
